scope,domain,cluster,precision,recall,f1,auprc,weather_event_rows,weather_event_episodes,fault_to_weather_rate
discovery,india,bengaluru,0.0,0.0,0.0,,0,0,0.014814814814814815
discovery,india,chennai,0.96875,0.34444444444444444,0.5081967213114754,0.6284436612678743,90,1,0.0
discovery,india,delhi,0.9538461538461539,0.8857142857142857,0.9185185185185185,0.9489495688484223,70,1,0.006024096385542169
discovery,india,hyderabad,0.0,0.0,0.0,,0,0,0.00851063829787234
discovery,dwd_all,dwd_east_continental,0.896551724137931,0.9037433155080213,0.9001331557922769,0.9570823355852295,374,6,0.016129032258064516
discovery,dwd_all,dwd_north_coastal,0.9391100702576113,0.7862745098039216,0.855923159018143,0.9521294670434308,510,6,0.018518518518518517
discovery,dwd_all,dwd_south_upland,0.8423076923076923,0.85546875,0.8488372093023255,0.9470673523598304,512,6,0.050505050505050504
discovery,dwd_all,dwd_west_lowland,0.9409368635437881,0.9428571428571428,0.9418960244648318,0.983176692191418,490,6,0.0
discovery,dwd_holdout,dwd_east_continental,0.9333333333333333,0.9130434782608695,0.9230769230769231,0.9711260675459625,92,6,0.020202020202020204
discovery,dwd_holdout,dwd_north_coastal,0.9622641509433962,0.796875,0.8717948717948718,0.9542997887992326,128,6,0.029411764705882353
discovery,dwd_holdout,dwd_south_upland,0.7985074626865671,0.8359375,0.816793893129771,0.9236609855527188,128,6,0.0
discovery,dwd_holdout,dwd_west_lowland,0.9512195121951219,0.9669421487603306,0.9590163934426229,0.9870609764111397,121,6,0.0
confirmation,india,bengaluru,0.0,0.0,0.0,,0,0,0.0
confirmation,india,chennai,0.0,0.0,0.0,,0,0,0.12598425196850394
confirmation,india,delhi,0.0,0.0,0.0,,0,0,0.0
confirmation,india,hyderabad,0.9516129032258065,0.2576419213973799,0.4054982817869416,0.7316813521862398,229,1,0.0
confirmation,dwd_all,dwd_east_continental,0.9099099099099099,0.9439252336448598,0.926605504587156,0.9777682338102704,428,6,0.0
confirmation,dwd_all,dwd_north_coastal,0.9420935412026726,0.9484304932735426,0.9452513966480447,0.98372758021339,446,6,0.031496062992125984
confirmation,dwd_all,dwd_south_upland,0.981859410430839,0.8983402489626556,0.9382448537378115,0.9840847340763909,482,6,0.007462686567164179
confirmation,dwd_all,dwd_west_lowland,0.9355432780847146,0.9676190476190476,0.951310861423221,0.988655874640086,525,6,0.018867924528301886
confirmation,dwd_holdout,dwd_east_continental,0.8888888888888888,0.9811320754716981,0.9327354260089686,0.9839319211282893,106,6,0.0
confirmation,dwd_holdout,dwd_north_coastal,0.9541284403669725,0.9454545454545454,0.9497716894977168,0.9779089076367055,110,6,0.0
confirmation,dwd_holdout,dwd_south_upland,0.9642857142857143,0.907563025210084,0.935064935064935,0.9723190374771169,119,6,0.011494252873563218
confirmation,dwd_holdout,dwd_west_lowland,0.9312977099236641,0.9457364341085271,0.9384615384615385,0.9794141537485034,129,6,0.0
