feature,mean_gain_importance
row_p_normal,346.0
row_p_sensor_fault,234.0
row_p_genuine_weather,139.33333333333334
fault_candidate_run_length,115.33333333333333
row_p_sensor_fault_max5,90.66666666666667
row_p_genuine_weather_mean5,62.333333333333336
row_p_genuine_weather_max5,50.666666666666664
row_p_sensor_fault_mean5,45.333333333333336
time_since_previous_minutes,2.6666666666666665
drift_evidence_score_mean5,2.0
drift_evidence_score,1.0
drift_evidence_score_max5,1.0
safe_weather_agreement,0.0
safe_weather_agreement_mean5,0.0
drift_support_count,0.0
isolated_drift_gate,0.0
safe_weather_sensor_count,0.0
safe_weather_agreement_max5,0.0
independent_weather_gate,0.0
neighbor_support_count,0.0
hard_fault,0.0
verified_heartbeat,0.0
expected_interval_minutes,0.0
regional_extent,0.0
slow_cadence_station,0.0
weather_candidate_run_length,0.0
primary_missing_count,0.0
gap_ratio,0.0
out_of_order_indicator,0.0
temperature_frozen_run_length,0.0
pressure_frozen_run_length,0.0
humidity_frozen_run_length,0.0
