feature,mean_abs_shap
row_p_normal,0.17967933400522343
row_p_genuine_weather,0.16545417475895027
row_p_sensor_fault,0.018719073982175597
row_p_genuine_weather_max5,0.012362097445231235
row_p_sensor_fault_max5,0.0027177397318691363
row_p_genuine_weather_mean5,0.0008812576838348211
row_p_sensor_fault_mean5,0.00036693618947875994
fault_candidate_run_length,0.0002877060021576495
time_since_previous_minutes,1.4110678244042996e-05
drift_evidence_score_max5,0.0
drift_evidence_score_mean5,0.0
isolated_drift_gate,0.0
safe_weather_agreement,0.0
safe_weather_agreement_mean5,0.0
drift_support_count,0.0
drift_evidence_score,0.0
safe_weather_sensor_count,0.0
safe_weather_agreement_max5,0.0
independent_weather_gate,0.0
neighbor_support_count,0.0
hard_fault,0.0
verified_heartbeat,0.0
expected_interval_minutes,0.0
regional_extent,0.0
slow_cadence_station,0.0
weather_candidate_run_length,0.0
primary_missing_count,0.0
gap_ratio,0.0
out_of_order_indicator,0.0
temperature_frozen_run_length,0.0
pressure_frozen_run_length,0.0
humidity_frozen_run_length,0.0
