station_id,station_name,state,district,climate_zone,cluster,evaluation_role,latitude,longitude,elevation_m,icao,wmo_id,wigos_id,is_benchmark,is_active_2024_plus,is_active_2020_plus,BEGIN,END
4952C57C,PUROLA,UTTARAKHAND,UTTARKASHI,Northern Himalayas,northern_himalayas,all_india_network,30.86,78.0,791.7,,,,0,1,1,20200101,20260925
49530298,GUWAHATI,ASSAM,KAMRUP_METROPOLITAN,Northeast Hills,northeast_hills,all_india_network,26.1,91.5667,41.3,,,,0,1,1,20200101,20260925
49530C4A,SECHU,NAGALAND,KOHIMA,Northeast Hills,northeast_hills,all_india_network,25.7,94.0333,650.0,,,,0,1,1,20200101,20260925
49534192,PASHAN_AWS_LAB,MAHARASHTRA,PUNE,Deccan Plateau,deccan_plateau,all_india_network,18.5167,73.85,73.1,,,,0,1,1,20200101,20260925
4953848C,MAHABALESHWAR,MAHARASHTRA,SATARA,Deccan Plateau,deccan_plateau,all_india_network,17.92478,73.66034,550.0,,,,0,1,1,20200101,20260925
495397FA,DIMAPUR,NAGALAND,DIMAPUR,Northeast Hills,northeast_hills,all_india_network,26.8,94.7,650.0,,,,0,1,1,20200101,20260925
4953A260,BOMDILA,ARUNACHAL_PRADESH,WEST_KAMENG,Northeast Hills,northeast_hills,all_india_network,27.2645,92.4159,650.0,,,,0,1,1,20200101,20260925
558004A2,BANDRA,MAHARASHTRA,MUMBAI SUBURBAN,Deccan Plateau,deccan_plateau,all_india_network,19.067,72.8409,550.0,,,,0,1,1,20200101,20260925
55800A70,MAHALAXMI,MAHARASHTRA,MUMBAI_CITY,Deccan Plateau,deccan_plateau,all_india_network,18.9799,72.8231,550.0,,,,0,1,1,20200101,20260925
558017D4,BHAYANDER,MAHARASHTRA,THANE,Deccan Plateau,deccan_plateau,all_india_network,19.3147,72.852,550.0,,,,0,1,1,20200101,20260925
55802C9C,RAM_MANDIR,MAHARASHTRA,MUMBAI SUBURBAN,Deccan Plateau,deccan_plateau,all_india_network,19.1531,72.8497,550.0,,,,0,1,1,20200101,20260925
55C071EE,LIKERA,ODISHA,JHARSUGUDA,Coastal Plains,coastal_plains,all_india_network,21.88,84.21,30.0,,,,0,1,1,20200101,20260925
55C08FB8,GANDERBAL,JAMMU_AND_KASHMIR,GANDERBAL,Northern Himalayas,northern_himalayas,all_india_network,34.24,74.78,1600.0,,,,0,1,1,20200101,20260925
55C09CCE,R_S_PURA,JAMMU_AND_KASHMIR,JAMMU,Northern Himalayas,northern_himalayas,all_india_network,32.61,74.74,1600.0,,,,0,1,1,20200101,20260925
55C0A786,REASI,JAMMU_AND_KASHMIR,REASI,Northern Himalayas,northern_himalayas,all_india_network,32.99,74.83,1600.0,,,,0,1,1,20200101,20260925
55C0E48C,DUNGRIPALLI,ODISHA,SUBARNAPUR,Coastal Plains,coastal_plains,all_india_network,21.04,83.54,30.0,,,,0,1,1,20200101,20260925
55C12DBA,RAJPURA_MANDI,JAMMU_AND_KASHMIR,POONCH,Northern Himalayas,northern_himalayas,all_india_network,33.8,74.26,1600.0,,,,0,1,1,20200101,20260925
55C1301E,BURMAL,JAMMU_AND_KASHMIR,KATHUA,Northern Himalayas,northern_himalayas,all_india_network,32.45,75.28,1600.0,,,,0,1,1,20200101,20260925
55C18390,BAKORE,JAMMU_AND_KASHMIR,JAMMU,Northern Himalayas,northern_himalayas,all_india_network,32.8071,74.55,1600.0,,,,0,1,1,20200101,20260925
55C18D42,RONGARA,MEGHALAYA,SOUTH_GARO_HILLS,Northeast Hills,northeast_hills,all_india_network,25.19,90.78,650.0,,,,0,1,1,20200101,20260925
55C1B8D8,KOLABIRA,ODISHA,JHARSUGUDA,Coastal Plains,coastal_plains,all_india_network,21.8,84.17,30.0,,,,0,1,1,20200101,20260925
55C239C2,MAHENDRAGARH,ODISHA,GAJAPATI,Coastal Plains,coastal_plains,all_india_network,19.13,84.1333,30.0,,,,0,1,1,20200101,20260925
55C2676C,TIGIRIA,ODISHA,CUTTACK,Coastal Plains,coastal_plains,all_india_network,20.4661,85.5269,30.0,,,,0,1,1,20200101,20260925
55C474D4,YINGKIONG,ARUNACHAL_PRADESH,UPPER_SIANG,Northeast Hills,northeast_hills,all_india_network,28.64,95.0228,650.0,,,,0,1,1,20200101,20260925
55C4DAFE,SOHELA,ODISHA,BARGARH,Coastal Plains,coastal_plains,all_india_network,21.2833,83.38,30.0,,,,0,1,1,20200101,20260925
55C5E34C,KADAMDEULI,WEST_BENGAL,BANKURA,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,23.09,86.86,160.0,,,,0,1,1,20200101,20260925
55C5ED9E,MUKUTMONIPUR,WEST_BENGAL,BANKURA,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,22.9567,86.79,160.0,,,,0,1,1,20200101,20260925
55C60962,DINHATA,WEST_BENGAL,COOCH_BEHAR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,26.12,89.48,160.0,,,,0,1,1,20200101,20260925
55C61A14,KHARIBARI,WEST_BENGAL,DARJEELING,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,26.55,88.19,160.0,,,,0,1,1,20200101,20260925
55C68F76,KADAMTALA,TRIPURA,NORTH_TRIPURA,Northeast Hills,northeast_hills,all_india_network,24.441,92.248,650.0,,,,0,1,1,20200101,20260925
55C692D2,AMARPUR,TRIPURA,GOMATI,Northeast Hills,northeast_hills,all_india_network,23.51,91.657,650.0,,,,0,1,1,20200101,20260925
55C69C00,KUMARGHAT,TRIPURA,UNAKOTI,Northeast Hills,northeast_hills,all_india_network,24.177,92.039,650.0,,,,0,1,1,20200101,20260925
55C6B43E,SONAMURA,TRIPURA,SIPAHIJALA,Northeast Hills,northeast_hills,all_india_network,23.4844,91.27,650.0,,,,0,1,1,20200101,20260925
55C6BAEC,TELIAMURA,TRIPURA,KHOWAI,Northeast Hills,northeast_hills,all_india_network,23.84,91.63,650.0,,,,0,1,1,20200101,20260925
55C6C2AE,BELONIA,TRIPURA,SOUTH_TRIPURA,Northeast Hills,northeast_hills,all_india_network,23.2451,91.476,650.0,,,,0,1,1,20200101,20260925
55C6DF0A,NAMTHANG,SIKKIM,NAMCHI,Northeast Hills,northeast_hills,all_india_network,27.16,88.47,650.0,,,,0,1,1,20200101,20260925
55C7163C,SORENG,SIKKIM,SORENG,Northeast Hills,northeast_hills,all_india_network,27.19,88.16,650.0,,,,0,1,1,20200101,20260925
55C718EE,RAVANGLA,SIKKIM,NAMCHI,Northeast Hills,northeast_hills,all_india_network,27.29,88.35,650.0,,,,0,1,1,20200101,20260925
55C723A6,ZIRO_ARG,ARUNACHAL_PRADESH,LOWER_SUBANSIRI,Northeast Hills,northeast_hills,all_india_network,27.5378,93.815,650.0,,,,0,1,1,20200101,20260925
55C73E02,CHAPRA,BIHAR,SARAN,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,25.7878,84.74,160.0,,,,0,1,1,20200101,20260925
55C75536,HATHUA,BIHAR,GOPALGANJ,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,26.3674,84.3129,160.0,,,,0,1,1,20200101,20260925
55C79028,YACHULI,ARUNACHAL_PRADESH,LOWER_SUBANSIRI,Northeast Hills,northeast_hills,all_india_network,27.46,93.7669,650.0,,,,0,1,1,20200101,20260925
55C7E6B8,OYAN,ARUNACHAL_PRADESH,EAST_SIANG,Northeast Hills,northeast_hills,all_india_network,27.88,95.31,650.0,,,,0,1,1,20200101,20260925
55C868EC,ARKI,JHARKHAND,KHUNTI,Central Plateau,central_plateau,all_india_network,23.1,85.53,380.0,,,,0,1,1,20200101,20260925
55C87548,TORPA,JHARKHAND,KHUNTI,Central Plateau,central_plateau,all_india_network,22.93,85.41,380.0,,,,0,1,1,20200101,20260925
55C88B1E,P_N_PALAYAM,TAMIL_NADU,COIMBATORE,Coastal Plains,coastal_plains,all_india_network,11.15,76.94,30.0,,,,0,1,1,20200101,20260925
55C896BA,CHETTYKULAM,TAMIL_NADU,PERAMBALUR,Coastal Plains,coastal_plains,all_india_network,11.13,78.77,30.0,,,,0,1,1,20200101,20260925
55C8ADF2,NILAKOTTAI,TAMIL_NADU,DINDIGUL,Coastal Plains,coastal_plains,all_india_network,10.15,77.85,30.0,,,,0,1,1,20200101,20260925
55C8B056,DINDIGUL,TAMIL_NADU,DINDIGUL,Coastal Plains,coastal_plains,all_india_network,10.38,77.96,30.0,,,,0,1,1,20200101,20260925
