"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","REM","EQD"
"42189099999","2022-01-01T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0068,1","+0068,1","10217,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-008,1","12,1",,,"SYN05242189 31993 00000 10068 20068 40217 71240 333 59008=",
"42189099999","2022-01-01T03:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0074,1","+0070,1","10232,1",,"4,1,02,1","4,1,02,1",,,,,,,,"240,M,+0175,1","240,N,+0053,1",,"9,9,999,9,-010,1","12,1",,,"SYN07442189 31993 00000 10074 20070 40232 71244 333 10175 20053 59010 555 10000=",
"42189099999","2022-01-01T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","230,1,N,0005,1","99999,9,9,N","002000,1,9,9","+0162,1","+0102,1","10230,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-009,1","05,1",,,"SYN05242189 31995 02301 10162 20102 40230 70544 333 59009=",
"42189099999","2022-01-01T09:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","320,1,N,0015,1","22000,1,9,N","002000,1,9,9","+0192,1","+0089,1","10199,1",,"0,1,02,1","0,1,02,1",,"04,1,+07500,1,00,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,07500,1,99,9,99,9",,,,"9,9,999,9,-010,1","05,1",,,"SYN06442189 31995 43203 10192 20089 40199 70500 80001 333 59010 84075=",
"42189099999","2022-01-01T12:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0162,1","+0102,1","10193,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-009,1","05,1",,,"SYN05842189 31995 00000 10162 20102 40193 70500 333 10199 59009=",
"42189099999","2022-01-01T15:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0116,1","+0100,1","10213,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-011,1","05,1",,,"SYN05242189 31995 00000 10116 20100 40213 70500 333 59011=",
"42189099999","2022-01-01T18:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0104,1","+0096,1","10216,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-015,1","10,1",,,"SYN05242189 31994 00000 10104 20096 40216 71000 333 59015=",
"42189099999","2022-01-01T21:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0090,1","+0082,1","10215,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-005,1","41,1",,,"SYN05242189 31993 00000 10090 20082 40215 74140 333 59005=",
"42189099999","2022-01-02T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0074,1","+0070,1","10216,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-001,1","42,1",,,"SYN05242189 31993 00000 10074 20070 40216 74244 333 59001=",
"42189099999","2022-01-02T03:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","07500,1,9,N","000500,1,9,9","+0076,1","+0072,1","10219,1",,"4,1,02,1","4,1,02,1",,"07,1,+07500,1,00,1",,,,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,07500,1,99,9,99,9","240,M,+0199,1","240,N,+0060,1",,"9,9,999,9,-013,1","42,1",,,"SYN08642189 31993 70000 10076 20072 40219 74244 80001 333 10199 20060 59013 87075 555 10000=",
"42189099999","2022-01-02T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","07500,1,9,N","002000,1,9,9","+0160,1","+0103,1","10216,1",,"4,1,02,1","4,1,02,1",,"06,1,+07500,1,00,1",,,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,07500,1,99,9,99,9",,,,"9,9,999,9,-014,1","05,1",,,"SYN06442189 31995 60000 10160 20103 40216 70544 80001 333 59014 86075=",
"42189099999","2022-01-02T09:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","230,1,N,0005,1","06000,1,9,N","002000,1,9,9","+0196,1","+0099,1","10183,1",,"2,1,02,1","2,1,02,1",,"05,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,-016,1","05,1",,,"SYN06442189 31995 52301 10196 20099 40183 70522 80001 333 59016 85070=",
"42189099999","2022-01-02T12:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0164,1","+0104,1","10176,1",,"2,1,02,1","1,1,02,1",,"04,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,-016,1","05,1",,,"SYN07042189 31995 40000 10164 20104 40176 70521 80001 333 10198 59016 84070=",
"42189099999","2022-01-02T15:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,9,9","+0116,1","+0108,1","10209,1",,"1,1,02,1","0,1,02,1",,"02,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,-007,1","10,1",,,"SYN06442189 31994 20000 10116 20108 40209 71010 80001 333 59007 82070=",
"42189099999","2022-01-02T18:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0102,1","+0098,1","10205,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-011,1","12,1",,,"SYN05242189 31993 00000 10102 20098 40205 71240 333 59011=",
"42189099999","2022-01-02T21:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0088,1","+0084,1","10189,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-026,1","12,1",,,"SYN05242189 31993 00000 10088 20084 40189 71240 333 59026=",
"42189099999","2022-01-03T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0084,1","+0084,1","10181,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-033,1","12,1",,,"SYN05242189 31993 00000 10084 20084 40181 71240 333 59033=",
"42189099999","2022-01-03T03:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","000500,1,9,9","+0078,1","+0074,1","10197,1",,"4,1,02,1","1,1,02,1",,"04,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,06000,1,99,9,99,9","240,M,+0198,1","240,N,+0063,1",,"9,9,999,9,-022,1","12,1",,,"SYN08642189 31993 40000 10078 20074 40197 71241 80001 333 10198 20063 59022 84070 555 10000=",
"42189099999","2022-01-03T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","230,1,N,0005,1","22000,1,9,N","002000,1,9,9","+0176,1","+0092,1","10187,1",,"4,1,02,1","1,1,02,1",,"03,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,-027,1","05,1",,,"SYN06442189 31995 32301 10176 20092 40187 70541 80001 333 59027 83070=",
"42189099999","2022-01-03T09:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,N","002000,1,9,9","+0204,1","+0081,1","10155,1",,"1,1,02,1","0,1,02,1",,"02,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,-026,1","05,1",,,"SYN06442189 31995 23202 10204 20081 40155 70510 80001 333 59026 82070=",
"42189099999","2022-01-03T12:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0174,1","+0135,1","10161,1",,"1,1,02,1","0,1,02,1",,"02,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,-014,1","05,1",,,"SYN07042189 31995 20000 10174 20135 40161 70510 80001 333 10210 59014 82070=",
"42189099999","2022-01-03T15:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0120,1","+0105,1","10185,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-024,1","05,1",,,"SYN05242189 31995 00000 10120 20105 40185 70500 333 59024=",
"42189099999","2022-01-03T18:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0106,1","+0098,1","10183,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-022,1","10,1",,,"SYN05242189 31994 00000 10106 20098 40183 71000 333 59022=",
"42189099999","2022-01-03T21:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0106,1","+0098,1","10180,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-006,1","10,1",,,"SYN05242189 31994 00000 10106 20098 40180 71000 333 59006=",
"42189099999","2022-01-04T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0090,1","+0086,1","10172,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-009,1","44,1",,,"SYN05242189 31993 00000 10090 20086 40172 74444 333 59009=",
"42189099999","2022-01-04T03:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0084,1","+0080,1","10193,1",,"4,1,02,1","4,1,02,1",,,,,,,,"240,M,+0210,1","240,N,+0069,1",,"9,9,999,9,-003,1","42,1",,,"SYN07442189 31993 00000 10084 20080 40193 74244 333 10210 20069 59003 555 10000=",
"42189099999","2022-01-04T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0170,1","+0102,1","10187,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-001,1","10,1",,,"SYN05242189 31994 00000 10170 20102 40187 71044 333 59001=",
