"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43302599999","2022-01-01T00:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0026,1","00366,1,C,N","006000,1,9,9","+0190,1","+0190,1","99999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10190,1,99999,9",,,,"MET064METAR VOBG 010000Z 09005KT 6000 SCT008 SCT012 19/19 Q1019 NOSIG=",
"43302599999","2022-01-01T00:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0021,1","00366,1,C,N","006000,1,9,9","+0190,1","+0190,1","99999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10190,1,99999,9",,,,"MET072METAR VOBG 010030Z 08004KT 6000 SCT008 SCT012 19/19 Q1019 TEMPO 5000 BR=",
"43302599999","2022-01-01T01:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0015,1","00244,1,C,N","005000,1,9,9","+0190,1","+0190,1","99999,9","07,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10190,1,99999,9","10,1",,,"MET079METAR COR VOBG 010100Z 09003KT 5000 BR BKN008 SCT012 19/19 Q1019 TEMPO 3000 BR=",
"43302599999","2022-01-01T01:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0026,1","00244,1,C,N","003000,1,9,9","+0190,1","+0190,1","99999,9","07,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET067METAR VOBG 010130Z 07005KT 3000 BR BKN008 SCT012 19/19 Q1020 NOSIG=",
"43302599999","2022-01-01T02:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0046,1","00366,1,C,N","004000,1,9,9","+0200,1","+0190,1","99999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET067METAR VOBG 010200Z 08009KT 4000 BR SCT008 SCT012 20/19 Q1020 NOSIG=",
"43302599999","2022-01-01T02:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0031,1","00244,1,C,N","004000,1,9,9","+0200,1","+0190,1","99999,9","07,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET067METAR VOBG 010230Z 07006KT 4000 BR BKN008 SCT012 20/19 Q1021 NOSIG=",
"43302599999","2022-01-01T03:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0041,1","00366,1,C,N","005000,1,9,9","+0200,1","+0200,1","99999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET072METAR VOBG 010300Z 08008KT 5000 BR SCT008 SCT012 20/20 Q1021 BECMG 6000=",
"43302599999","2022-01-01T03:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","060,1,N,0041,1","00366,1,C,N","006000,1,9,9","+0210,1","+0190,1","99999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10210,1,99999,9",,,,"MET064METAR VOBG 010330Z 06008KT 6000 SCT008 SCT012 21/19 Q1021 NOSIG=",
"43302599999","2022-01-01T04:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0051,1","00366,1,C,N","006000,1,9,9","+0220,1","+0200,1","99999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10210,1,99999,9",,,,"MET064METAR VOBG 010400Z 08010KT 6000 SCT008 SCT012 22/20 Q1021 NOSIG=",
"43302599999","2022-01-01T04:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0041,1","00366,1,C,N","006000,1,9,9","+0220,1","+0190,1","99999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10210,1,99999,9",,,,"MET064METAR VOBG 010430Z 07008KT 6000 SCT008 SCT012 22/19 Q1021 NOSIG=",
"43302599999","2022-01-01T05:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","060,1,N,0046,1","00366,1,C,N","006000,1,9,9","+0230,1","+0190,1","99999,9","04,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10210,1,99999,9",,,,"MET064METAR VOBG 010500Z 06009KT 6000 SCT010 SCT012 23/19 Q1021 NOSIG=",
"43302599999","2022-01-01T05:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0051,1","00366,1,C,N","006000,1,9,9","+0230,1","+0180,1","99999,9","02,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10210,1,99999,9",,,,"MET064METAR VOBG 010530Z 07010KT 6000 FEW010 SCT012 23/18 Q1021 NOSIG=",
"43302599999","2022-01-01T06:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0062,1","00549,1,C,N","008000,1,9,9","+0230,1","+0170,1","99999,9","04,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10200,1,99999,9",,,,"MET064METAR VOBG 010600Z 08012KT 8000 SCT012 SCT018 23/17 Q1020 NOSIG=",
"43302599999","2022-01-01T06:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0062,1","00549,1,C,N","008000,1,9,9","+0240,1","+0180,1","99999,9","04,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10200,1,99999,9",,,,"MET064METAR VOBG 010630Z 08012KT 8000 SCT012 SCT018 24/18 Q1020 NOSIG=",
"43302599999","2022-01-01T07:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0062,1","00549,1,C,N","008000,1,9,9","+0240,1","+0180,1","99999,9","04,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10190,1,99999,9",,,,"MET064METAR VOBG 010700Z 07012KT 8000 SCT012 SCT018 24/18 Q1019 NOSIG=",
"43302599999","2022-01-01T07:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0062,1","00549,1,C,N","008000,1,9,9","+0250,1","+0180,1","99999,9","04,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10190,1,99999,9",,,,"MET064METAR VOBG 010730Z 09012KT 8000 SCT012 SCT018 25/18 Q1019 NOSIG=",
"43302599999","2022-01-01T08:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0051,1","00549,1,C,N","008000,1,9,9","+0250,1","+0180,1","99999,9","04,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10180,1,99999,9",,,,"MET064METAR VOBG 010800Z 09010KT 8000 SCT012 SCT018 25/18 Q1018 NOSIG=",
