"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43302599999","2023-01-01T00:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0160,1","+0150,1","99999,9",,,"04,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET068METAR VOBG 010000Z 00000KT 4000 BR SCT008 16/15 Q1020 TEMPO 3000 BR=",
"43302599999","2023-01-01T00:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","003000,1,9,9","+0160,1","+0150,1","99999,9",,,"04,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET068METAR VOBG 010030Z 00000KT 3000 BR SCT008 16/15 Q1020 TEMPO 2000 BR=",
"43302599999","2023-01-01T01:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","003000,1,9,9","+0160,1","+0150,1","99999,9",,,"04,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET068METAR VOBG 010100Z 00000KT 3000 BR SCT008 16/15 Q1020 TEMPO 2000 BR=",
"43302599999","2023-01-01T01:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","003000,1,9,9","+0160,1","+0150,1","99999,9",,,"04,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET068METAR VOBG 010130Z 00000KT 3000 BR SCT008 16/15 Q1021 TEMPO 2000 BR=",
"43302599999","2023-01-01T02:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0170,1","+0160,1","99999,9",,,"02,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00244,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET060METAR VOBG 010200Z 00000KT 2000 BR FEW008 17/16 Q1021 NOSIG=",
"43302599999","2023-01-01T02:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","001500,1,9,9","+0200,1","+0190,1","99999,9",,,"02,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00244,1,99,9,99,9","10220,1,99999,9","10,1",,,"MET060METAR VOBG 010230Z 00000KT 1500 BR FEW008 20/19 Q1022 NOSIG=",
"43302599999","2023-01-01T03:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0220,1","+0210,1","99999,9",,,"02,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10220,1,99999,9","10,1",,,"MET060METAR VOBG 010300Z 00000KT 2000 BR FEW012 22/21 Q1022 NOSIG=",
"43302599999","2023-01-01T03:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0021,1","22000,1,9,N","004000,1,9,9","+0230,1","+0190,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10230,1,99999,9","10,1",,,"MET062METAR VOBG 010330Z 08004KT 4000 BR NSC 23/19 Q1023 BECMG 6000=",
"43302599999","2023-01-01T04:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0026,1","22000,1,9,N","006000,1,9,9","+0240,1","+0160,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10230,1,99999,9",,,,"MET054METAR VOBG 010400Z 08005KT 6000 NSC 24/16 Q1023 NOSIG=",
"43302599999","2023-01-01T04:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","060,1,N,0041,1","22000,1,9,N","008000,1,9,9","+0250,1","+0140,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10230,1,99999,9",,,,"MET054METAR VOBG 010430Z 06008KT 8000 NSC 25/14 Q1023 NOSIG=",
