station_id,station_name,state,latitude,longitude,elevation_m,wigos_id,wmo_id,icao,network_type,primary_provider,is_reference_only
4952C57C,PUROLA,UTTARAKHAND,30.86,78.0,791.7,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
49530298,GUWAHATI,ASSAM,26.1,91.5667,41.3,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
49530C4A,SECHU,NAGALAND,25.7,94.0333,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
49534192,PASHAN_AWS_LAB,MAHARASHTRA,18.5167,73.85,73.1,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
4953848C,MAHABALESHWAR,MAHARASHTRA,17.92478,73.66034,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
495397FA,DIMAPUR,NAGALAND,26.8,94.7,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
4953A260,BOMDILA,ARUNACHAL_PRADESH,27.2645,92.4159,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
558004A2,BANDRA,MAHARASHTRA,19.067,72.8409,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55800A70,MAHALAXMI,MAHARASHTRA,18.9799,72.8231,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
558017D4,BHAYANDER,MAHARASHTRA,19.3147,72.852,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55802C9C,RAM_MANDIR,MAHARASHTRA,19.1531,72.8497,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C071EE,LIKERA,ODISHA,21.88,84.21,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C08FB8,GANDERBAL,JAMMU_AND_KASHMIR,34.24,74.78,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C09CCE,R_S_PURA,JAMMU_AND_KASHMIR,32.61,74.74,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C0A786,REASI,JAMMU_AND_KASHMIR,32.99,74.83,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C0E48C,DUNGRIPALLI,ODISHA,21.04,83.54,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C12DBA,RAJPURA_MANDI,JAMMU_AND_KASHMIR,33.8,74.26,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C1301E,BURMAL,JAMMU_AND_KASHMIR,32.45,75.28,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C18390,BAKORE,JAMMU_AND_KASHMIR,32.8071,74.55,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C18D42,RONGARA,MEGHALAYA,25.19,90.78,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C1B8D8,KOLABIRA,ODISHA,21.8,84.17,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C239C2,MAHENDRAGARH,ODISHA,19.13,84.1333,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C2676C,TIGIRIA,ODISHA,20.4661,85.5269,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C474D4,YINGKIONG,ARUNACHAL_PRADESH,28.64,95.0228,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C4DAFE,SOHELA,ODISHA,21.2833,83.38,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C5E34C,KADAMDEULI,WEST_BENGAL,23.09,86.86,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C5ED9E,MUKUTMONIPUR,WEST_BENGAL,22.9567,86.79,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C60962,DINHATA,WEST_BENGAL,26.12,89.48,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C61A14,KHARIBARI,WEST_BENGAL,26.55,88.19,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C68F76,KADAMTALA,TRIPURA,24.441,92.248,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
