USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,station_id,latitude,longitude,elevation_m,coordinate_valid,station_name,legacy_24_station,geographic_block,station_role,inventory_reports_2020,file_listed_2020,inventory_reports_2021,file_listed_2021,inventory_reports_2022,file_listed_2022,inventory_reports_2023,file_listed_2023
420100,99999,BOGUS INDIAN,IN,,,,,,19870511,20020618,42010099999,,,,False,BOGUS INDIAN,False,<NA>:<NA>,spatial_holdout,0,False,0,False,0,False,0,False
420260,99999,GULMARG,IN,,,+34.050,+074.400,+2655.0,19440601,20250824,42026099999,34.05,74.4,2655.0,True,GULMARG,False,17:37,development,520,True,677,True,701,True,578,True
420270,99999,SRINAGAR,IN,,,+34.083,+074.833,+1587.0,19730101,20250824,42027099999,34.083,74.833,1587.0,True,SRINAGAR,False,17:37,development,2837,True,2848,True,2826,True,2823,True
420290,99999,SONAMARG,IN,,,+34.317,+075.317,+2515.0,19740613,20211224,42029099999,34.317,75.317,2515.0,True,SONAMARG,False,17:37,development,1,True,2,True,0,False,0,False
420300,99999,DRAS,IN,,,+34.433,+075.767,+3066.0,19440101,20070426,42030099999,34.433,75.767,3066.0,True,DRAS,False,17:37,development,0,False,0,False,0,False,0,False
420340,99999,LEH               &,IN,,,+34.150,+077.567,+3513.0,19440101,19481106,42034099999,34.15,77.567,3513.0,True,LEH               &,False,17:38,development,0,False,0,False,0,False,0,False
420420,99999,SRINAGAR,IN,,,+33.983,+074.783,+1664.0,19881026,20241111,42042099999,33.983,74.783,1664.0,True,SRINAGAR,False,16:37,spatial_holdout,0,False,0,False,0,False,0,False
420440,99999,QAZI GUND,IN,,,+33.583,+075.083,+1690.0,20090205,20250824,42044099999,33.583,75.083,1690.0,True,QAZI GUND,False,16:37,spatial_holdout,1810,True,1773,True,1799,True,1754,True
420450,99999,BANIHAL,IN,,,+33.500,+075.167,+1630.0,20021023,20250824,42045099999,33.5,75.167,1630.0,True,BANIHAL,False,16:37,spatial_holdout,1816,True,1780,True,1798,True,1755,True
420550,99999,JAMMU (IN-AFB),IN,,,+32.683,+074.833,+0314.0,19730101,19910719,42055099999,32.683,74.833,314.0,True,JAMMU (IN-AFB),False,16:37,spatial_holdout,0,False,0,False,0,False,0,False
420560,99999,JAMMU,IN,,,+32.667,+074.833,+0367.0,19830902,20250824,42056099999,32.667,74.833,367.0,True,JAMMU,False,16:37,spatial_holdout,2871,True,2809,True,2778,True,2832,True
420570,99999,PATHANKOT (IN-AFB)&,IN,,,+32.233,+075.633,+0312.0,19730102,19750831,42057099999,32.233,75.633,312.0,True,PATHANKOT (IN-AFB)&,False,16:37,spatial_holdout,0,False,0,False,0,False,0,False
420590,99999,DALHOUSIE,IN,,,+32.533,+075.967,+1959.0,19440601,20060101,42059099999,32.533,75.967,1959.0,True,DALHOUSIE,False,16:37,spatial_holdout,0,False,0,False,0,False,0,False
420600,99999,KATHUA,IN,,,+32.333,+075.500,+0380.0,20011121,20180316,42060099999,32.333,75.5,380.0,True,KATHUA,False,16:37,spatial_holdout,0,False,0,False,0,False,0,False
420620,99999,DHARMSALA,IN,,,+32.267,+076.383,+1211.0,19730101,20250824,42062099999,32.267,76.383,1211.0,True,DHARMSALA,False,16:38,development,688,True,660,True,613,True,457,True
420630,99999,KYELONG,IN,,,+32.583,+077.067,+3348.0,20170926,20230807,42063099999,32.583,77.067,3348.0,True,KYELONG,False,16:38,development,1,True,0,False,0,False,1,True
420650,99999,MANALI,IN,,,+32.267,+077.167,+2039.0,19990223,20250824,42065099999,32.267,77.167,2039.0,True,MANALI,False,16:38,development,688,True,703,True,716,True,618,True
420710,99999,AMRITSAR,IN,,VIAR,+31.710,+074.797,+0230.4,19730101,20250824,42071099999,31.71,74.797,230.4,True,AMRITSAR,False,15:37,development,18596,True,18714,True,19210,True,19022,True
420740,99999,KAPURTHALA,IN,,,+31.333,+075.333,+0229.0,20020214,20160509,42074099999,31.333,75.333,229.0,True,KAPURTHALA,False,15:37,development,0,False,0,False,0,False,0,False
420750,99999,JULLUNDUR,IN,,,+31.467,+075.583,-0999.9,20180918,20240213,42075099999,31.467,75.583,-999.9,True,JULLUNDUR,False,15:37,development,2,True,2,True,1,True,0,False
420770,99999,UNA,IN,,,+31.467,+076.267,+0369.0,20090205,20250824,42077099999,31.467,76.267,369.0,True,UNA,False,15:38,development,689,True,569,True,553,True,658,True
420780,99999,MANDI,IN,,,+31.717,+076.967,+0761.0,19590602,20250824,42078099999,31.717,76.967,761.0,True,MANDI,False,15:38,development,502,True,711,True,716,True,706,True
420790,99999,SUNDERNAGAR,IN,,,+31.533,+076.900,+0874.0,20130529,20250824,42079099999,31.533,76.9,874.0,True,SUNDERNAGAR,False,15:38,development,2645,True,2860,True,2875,True,2819,True
420800,99999,BILASPUR,IN,,,+31.250,+076.667,+0587.0,19590602,19971222,42080099999,31.25,76.667,587.0,True,BILASPUR,False,15:38,development,0,False,0,False,0,False,0,False
