i10_domain,station_id,samples,regularity,expected_interval_minutes,training_gap_ratio_q999,verified_heartbeat,automatic_gap_ratio_threshold
india,42181099999,33496,0.9895211368521615,30.0,6.0,True,7.5
india,42182099999,7738,0.6453864047557508,180.0,3.043833421000138,False,inf
india,42189099999,5904,0.931910569105691,180.0,3.0,True,4.0
india,42348099999,33987,0.9883779092005767,30.0,3.0,True,4.0
india,42361099999,5789,0.9189842805320435,180.0,2.212000000000444,True,4.0
india,42705699999,34109,0.9853411123163974,30.0,3.0,True,4.0
india,43021099999,3897,0.5994354631768026,30.0,48.0,False,inf
india,43128099999,23278,0.8582352435776269,30.0,12.0,True,15.0
india,43128599999,33238,0.9877549792406282,30.0,5.0,True,6.25
india,43181099999,24463,0.9020561664554634,30.0,12.0,True,15.0
india,43213099999,5614,0.9896686854292839,180.0,3.0,True,4.0
india,43245099999,5553,0.9845128759229246,180.0,3.0,True,4.0
india,43275099999,3494,0.7927876359473383,180.0,6.0,True,7.5
india,43278099999,4207,0.8236272878535774,180.0,5.0,True,6.25
india,43279099999,33477,0.9945634316097619,30.0,4.0,True,5.0
india,43284099999,33362,0.9819854924764703,30.0,4.0,True,5.0
india,43295099999,5497,0.9710751318901218,180.0,4.0,True,5.0
india,43302599999,20631,0.7640443992050797,30.0,21.0,True,26.25
india,43321099999,31073,0.9151996910501078,30.0,6.0,True,7.5
india,43329099999,5621,0.987012987012987,180.0,3.0,True,4.0
dwd,DWD-00433,16633,0.9997595142187218,60.0,1.0,True,4.0
dwd,DWD-01048,16884,1.0,60.0,1.0,True,4.0
dwd,DWD-01078,16835,0.9993465993465993,60.0,1.0,True,4.0
dwd,DWD-01262,16863,1.0,60.0,1.0,True,4.0
dwd,DWD-01420,16901,0.999644991420626,60.0,1.0,True,4.0
dwd,DWD-01975,16926,1.0,60.0,1.0,True,4.0
dwd,DWD-02667,17011,1.0,60.0,1.0,True,4.0
dwd,DWD-02712,17117,1.0,60.0,1.0,True,4.0
dwd,DWD-03032,17010,0.9997648442092887,60.0,1.0,True,4.0
dwd,DWD-03987,16898,0.9999408213989821,60.0,1.0,True,4.0
dwd,DWD-04271,16829,0.9998811575256997,60.0,1.0,True,4.0
dwd,DWD-04928,17056,0.9999413696060038,60.0,1.0,True,4.0
