station_id,health_score,status,predicted_fault_incidents,drift_incidents,recommended_action
dwd|meteorological|DWD-00232,58.0,degrading,3,0,inspect within seven days
dwd|meteorological|DWD-00433,72.0,degrading,2,0,inspect within seven days
dwd|meteorological|DWD-01048,58.0,degrading,3,0,inspect within seven days
dwd|meteorological|DWD-01078,72.0,degrading,2,0,inspect within seven days
dwd|meteorological|DWD-01262,72.0,degrading,2,0,inspect within seven days
dwd|meteorological|DWD-01420,86.0,healthy,1,0,no action
dwd|meteorological|DWD-01684,58.0,degrading,3,0,inspect within seven days
dwd|meteorological|DWD-01975,58.0,degrading,3,0,inspect within seven days
dwd|meteorological|DWD-02667,0.0,critical,13,0,immediate calibration/inspection
dwd|meteorological|DWD-02712,72.0,degrading,2,0,inspect within seven days
dwd|meteorological|DWD-03032,2.0,critical,7,0,immediate calibration/inspection
dwd|meteorological|DWD-03987,2.0,critical,7,0,immediate calibration/inspection
dwd|meteorological|DWD-04271,100.0,healthy,0,0,no action
dwd|meteorological|DWD-04336,44.0,critical,4,0,immediate calibration/inspection
dwd|meteorological|DWD-04928,30.0,critical,5,0,immediate calibration/inspection
dwd|meteorological|DWD-05839,44.0,critical,4,0,immediate calibration/inspection
dwd|operational|DWD-00232,86.0,healthy,1,0,no action
dwd|operational|DWD-00433,86.0,healthy,1,0,no action
dwd|operational|DWD-01048,58.0,degrading,3,0,inspect within seven days
dwd|operational|DWD-01078,72.0,degrading,2,0,inspect within seven days
dwd|operational|DWD-01262,86.0,healthy,1,0,no action
dwd|operational|DWD-01420,72.0,degrading,2,0,inspect within seven days
dwd|operational|DWD-01684,72.0,degrading,2,0,inspect within seven days
dwd|operational|DWD-01975,72.0,degrading,2,0,inspect within seven days
dwd|operational|DWD-02667,0.0,critical,12,0,immediate calibration/inspection
dwd|operational|DWD-02712,86.0,healthy,1,0,no action
dwd|operational|DWD-03032,16.0,critical,6,0,immediate calibration/inspection
dwd|operational|DWD-03987,44.0,critical,4,0,immediate calibration/inspection
dwd|operational|DWD-04271,86.0,healthy,1,0,no action
dwd|operational|DWD-04336,72.0,degrading,2,0,inspect within seven days
dwd|operational|DWD-04928,86.0,healthy,1,0,no action
dwd|operational|DWD-05839,100.0,healthy,0,0,no action
india|meteorological|42131099999,100.0,healthy,0,0,no action
india|meteorological|42181099999,0.0,critical,28,0,immediate calibration/inspection
india|meteorological|42182099999,100.0,healthy,0,0,no action
india|meteorological|42189099999,72.0,degrading,2,0,inspect within seven days
india|meteorological|42348099999,0.0,critical,22,0,immediate calibration/inspection
india|meteorological|42361099999,100.0,healthy,0,0,no action
india|meteorological|42705699999,0.0,critical,181,0,immediate calibration/inspection
india|meteorological|43021099999,22.0,critical,5,2,immediate calibration/inspection
india|meteorological|43086099999,100.0,healthy,0,0,no action
india|meteorological|43128099999,86.0,healthy,1,0,no action
india|meteorological|43128599999,0.0,critical,163,0,immediate calibration/inspection
india|meteorological|43181099999,0.0,critical,19,0,immediate calibration/inspection
india|meteorological|43213099999,100.0,healthy,0,0,no action
india|meteorological|43233099999,100.0,healthy,0,0,no action
india|meteorological|43245099999,86.0,healthy,1,0,no action
india|meteorological|43275099999,100.0,healthy,0,0,no action
india|meteorological|43278099999,72.0,degrading,2,0,inspect within seven days
india|meteorological|43279099999,0.0,critical,34,0,immediate calibration/inspection
india|meteorological|43284099999,0.0,critical,61,0,immediate calibration/inspection
india|meteorological|43295099999,100.0,healthy,0,0,no action
india|meteorological|43302599999,0.0,critical,171,0,immediate calibration/inspection
india|meteorological|43321099999,0.0,critical,47,0,immediate calibration/inspection
india|meteorological|43329099999,86.0,healthy,1,0,no action
india|meteorological|43331099999,100.0,healthy,0,0,no action
india|operational|42131099999,86.0,healthy,1,0,no action
india|operational|42181099999,0.0,critical,28,0,immediate calibration/inspection
india|operational|42182099999,100.0,healthy,0,0,no action
india|operational|42189099999,72.0,degrading,2,0,inspect within seven days
india|operational|42348099999,0.0,critical,23,0,immediate calibration/inspection
india|operational|42361099999,72.0,degrading,2,0,inspect within seven days
india|operational|42705699999,0.0,critical,188,0,immediate calibration/inspection
india|operational|43021099999,10.0,critical,7,1,immediate calibration/inspection
india|operational|43086099999,100.0,healthy,0,0,no action
india|operational|43128099999,72.0,degrading,2,0,inspect within seven days
india|operational|43128599999,0.0,critical,165,0,immediate calibration/inspection
india|operational|43181099999,0.0,critical,19,0,immediate calibration/inspection
india|operational|43213099999,86.0,healthy,1,0,no action
india|operational|43233099999,100.0,healthy,0,0,no action
india|operational|43245099999,58.0,degrading,3,0,inspect within seven days
india|operational|43275099999,86.0,healthy,1,0,no action
india|operational|43278099999,86.0,healthy,1,0,no action
india|operational|43279099999,0.0,critical,33,0,immediate calibration/inspection
india|operational|43284099999,0.0,critical,60,0,immediate calibration/inspection
india|operational|43295099999,86.0,healthy,1,0,no action
india|operational|43302599999,0.0,critical,174,0,immediate calibration/inspection
india|operational|43321099999,0.0,critical,47,0,immediate calibration/inspection
india|operational|43329099999,72.0,degrading,2,0,inspect within seven days
india|operational|43331099999,100.0,healthy,0,0,no action
