Gate,Operator,Actual,Status
calibration_development_safety_pass,== True,True,PASS
eligible_policy_found,== True,True,PASS
india_and_dwd_holdout_rows_nonzero,== True,True,PASS
holdouts_absent_from_training,== 0,0,PASS
incident_fault_precision_gte_0_80_every_domain_and_holdout,>= 0.8,0.728,FAIL
incident_fault_f1_gte_0_70,>= 0.7,0.5879,FAIL
false_alerts_per_station_day_lte_0_02_every_domain_and_holdout,<= 0.02,0.0048,PASS
no_primary_incident_f1_regression_vs_best_retained,== True,True,PASS
no_primary_point_f1_regression_vs_best_retained,== True,True,PASS
fault_episode_recall_gte_0_70,>= 0.7,0.4931,FAIL
drift_episode_recall_gte_0_50,>= 0.5,0.42,FAIL
frozen_episode_recall_gte_0_80,>= 0.8,0.85,PASS
communication_mean_recall_gte_0_80,>= 0.8,0.95,PASS
weak_fault_mean_recall_gte_0_60,>= 0.6,0.52,FAIL
india_and_dwd_weather_incident_f1_gte_0_75,>= 0.75,0.88,PASS
worst_supported_cluster_weather_f1_gte_0_65,>= 0.65,0.76,PASS
fault_to_weather_rate_lte_0_01_every_domain_and_holdout,<= 0.01,0.0,PASS
root_cause_accuracy_gte_0_80,>= 0.8,0.865,PASS
root_cause_macro_f1_gte_0_70,>= 0.7,0.82,PASS
fault_ece_lte_0_08,<= 0.08,0.0024,PASS
weather_ece_lte_0_08,<= 0.08,0.0035,PASS
median_fault_detection_latency_lte_180_minutes,<= 180.0,0.0,PASS
three_fresh_seed_runs_present,>= 3,3,PASS
every_seed_precision_and_false_alarm_pass,== True,False,FAIL
locked_2024_2025_unopened,== True,True,PASS
