grace_minutes,support_threshold,max_duration_minutes,min_precision,max_false_alarm,min_point_f1,mean_point_f1,min_point_f1_delta,mean_point_f1_delta,min_event_recall,min_event_f1_delta,mean_event_f1_delta
0,0.1,720,0.7714285714285715,0.016330418807198988,0.3157894736842105,0.47906037042639876,-0.00745990302126065,0.002082044053799285,0.6666666666666666,0.01016949152542379,0.011456231154651886
0,0.1,1440,0.7659574468085106,0.016330418807198988,0.3157894736842105,0.4785708142906285,-0.008928571428571397,0.0015924879180290359,0.6666666666666666,0.01016949152542379,0.011456231154651886
0,0.2,720,0.7941176470588235,0.017419113394345587,0.30837004405286345,0.4764757506721346,-0.0015077271013945737,-0.0005025757004648579,0.6666666666666666,0.0,0.0
0,0.2,1440,0.7941176470588235,0.017419113394345587,0.30837004405286345,0.4764757506721346,-0.0015077271013945737,-0.0005025757004648579,0.6666666666666666,0.0,0.0
0,0.3,720,0.8,0.017419113394345587,0.30837004405286345,0.4769783263725995,0.0,0.0,0.6666666666666666,0.0,0.0
0,0.3,1440,0.8,0.017419113394345587,0.30837004405286345,0.4769783263725995,0.0,0.0,0.6666666666666666,0.0,0.0
0,1.1,720,0.8,0.017419113394345587,0.30837004405286345,0.4769783263725995,0.0,0.0,0.6666666666666666,0.0,0.0
0,1.1,1440,0.8,0.017419113394345587,0.30837004405286345,0.4769783263725995,0.0,0.0,0.6666666666666666,0.0,0.0
60,0.1,720,0.6242774566473989,0.012519987752185891,0.33814432989690724,0.471261785179311,-0.05219780219780212,-0.005716541193288516,0.6666666666666666,0.011611030478954953,0.046476820635544626
60,0.1,1440,0.6067415730337079,0.012519987752185891,0.33675564681724846,0.4682689973700301,-0.058364438411944275,-0.008709329002569358,0.6666666666666666,0.011611030478954953,0.046476820635544626
60,0.2,720,0.6352941176470588,0.01415302963290579,0.3278008298755187,0.4684024654202483,-0.048426150121065326,-0.008575860952351189,0.6666666666666666,0.011611030478954953,0.03129755545627947
60,0.2,1440,0.6206896551724138,0.01415302963290579,0.32644628099173556,0.4658011562433057,-0.05344295991778003,-0.011177170129293812,0.6666666666666666,0.011611030478954953,0.03129755545627947
60,0.3,720,0.6390532544378699,0.01415302963290579,0.3278008298755187,0.46882560653781097,-0.04715672676837723,-0.008152719834788491,0.6666666666666666,0.011611030478954953,0.03129755545627947
60,0.3,1440,0.6242774566473989,0.01415302963290579,0.32644628099173556,0.46621620881663167,-0.05219780219780212,-0.010762117555967843,0.6666666666666666,0.011611030478954953,0.03129755545627947
60,1.1,720,0.6390532544378699,0.01415302963290579,0.3278008298755187,0.46882560653781097,-0.04715672676837723,-0.008152719834788491,0.6666666666666666,0.011611030478954953,0.03129755545627947
60,1.1,1440,0.6242774566473989,0.01415302963290579,0.32644628099173556,0.46621620881663167,-0.05219780219780212,-0.010762117555967843,0.6666666666666666,0.011611030478954953,0.03129755545627947
180,0.1,720,0.459915611814346,0.012519987752185891,0.32967032967032966,0.42400865757164974,-0.11726190476190473,-0.0529696688009498,0.6666666666666666,0.0,0.0511534856895682
180,0.1,1440,0.43951612903225806,0.013150234581007501,0.32608695652173914,0.4202149492060257,-0.1274367180680826,-0.056763377166573835,0.6666666666666666,-0.011180992313067795,0.05253572010529687
180,0.2,720,0.46382978723404256,0.012519987752185891,0.3271375464684015,0.4247182394398133,-0.11536162582187681,-0.052260086932786186,0.6666666666666666,0.0,0.046799349259960064
180,0.2,1440,0.44308943089430897,0.013150234581007501,0.3241252302025783,0.4212625832556918,-0.12562080046742619,-0.05571574311690769,0.6666666666666666,-0.011180992313067795,0.048181583675688734
180,0.3,720,0.47391304347826085,0.012519987752185891,0.3271375464684015,0.42744357830279944,-0.11054062216852911,-0.04953474806980009,0.6666666666666666,0.0,0.046799349259960064
180,0.3,1440,0.45228215767634855,0.013150234581007501,0.3241252302025783,0.4239087682872114,-0.12101534828807553,-0.05306955808538807,0.6666666666666666,-0.011180992313067795,0.048181583675688734
180,1.1,720,0.47391304347826085,0.012519987752185891,0.3271375464684015,0.42744357830279944,-0.11054062216852911,-0.04953474806980009,0.6666666666666666,0.0,0.046799349259960064
180,1.1,1440,0.45228215767634855,0.013150234581007501,0.3241252302025783,0.4239087682872114,-0.12101534828807553,-0.05306955808538807,0.6666666666666666,-0.011180992313067795,0.048181583675688734
360,0.1,720,0.3224852071005917,0.015615903564946406,0.29079159935379645,0.3612386938510613,-0.19621342512908774,-0.1157396325215382,0.6666666666666666,-0.04237007613373056,0.032147972096169854
360,0.1,1440,0.30446927374301674,0.016437793226259375,0.28885400313971743,0.35671446485268693,-0.20869978607083428,-0.12026386151991263,0.6666666666666666,-0.05204944697462588,0.029449533601751437
360,0.2,720,0.3353846153846154,0.015615903564946406,0.2947019867549669,0.36607800353987496,-0.18762575452716296,-0.11090032283272455,0.6666666666666666,-0.04237007613373056,0.027793835666561722
360,0.2,1440,0.3168604651162791,0.016437793226259375,0.2940226171243942,0.36225206169060087,-0.20004867364322215,-0.11472626468199865,0.6666666666666666,-0.05204944697462588,0.025256661484351017
360,0.3,720,0.340625,0.015615903564946406,0.2947019867549669,0.36803078091833147,-0.18421720375539202,-0.10894754545426799,0.6666666666666666,-0.04237007613373056,0.027793835666561722
360,0.3,1440,0.3215339233038348,0.016437793226259375,0.2940226171243942,0.3641235428589838,-0.1968581246931762,-0.11285478351361568,0.6666666666666666,-0.05204944697462588,0.025256661484351017
360,1.1,720,0.340625,0.015615903564946406,0.2947019867549669,0.36803078091833147,-0.18421720375539202,-0.10894754545426799,0.6666666666666666,-0.04237007613373056,0.027793835666561722
360,1.1,1440,0.3215339233038348,0.016437793226259375,0.2940226171243942,0.3641235428589838,-0.1968581246931762,-0.11285478351361568,0.6666666666666666,-0.05204944697462588,0.025256661484351017
