score_col,threshold,min_points,max_gap_minutes,weather_guard,tune_min_precision,tune_max_false_alarm,tune_min_point_f1_delta,tune_mean_point_f1_delta,tune_min_event_f1_delta,tune_mean_event_f1_delta,tune_mean_weak_episode_recall_delta,all_min_precision,all_max_false_alarm,all_min_point_f1_delta,all_mean_point_f1_delta,all_min_event_f1_delta,all_mean_event_f1_delta,all_mean_weak_episode_recall_delta,passes_tune_gates,passes_all_gates
weak_consensus_min,0.15,2,90,True,0.2246153846153846,0.09369542138967844,-0.2252152793111062,-0.16250694739627053,-0.3988826815642458,-0.3844450163518362,0.25,0.2246153846153846,0.09369542138967844,-0.2252152793111062,-0.16072680306089118,-0.3988826815642458,-0.34576090749603816,0.16666666666666666,False,False
weak_consensus_min,0.15,2,90,False,0.2246153846153846,0.09369542138967844,-0.2252152793111062,-0.16250694739627053,-0.3988826815642458,-0.3844450163518362,0.25,0.2246153846153846,0.09369542138967844,-0.2252152793111062,-0.16138341947630155,-0.3988826815642458,-0.3451332018683326,0.16666666666666666,False,False
weak_consensus_min,0.15,2,180,True,0.13464696223316913,0.15024666855684715,-0.2641438032166509,-0.20292359030142382,-0.48198757763975153,-0.45729499568712034,0.375,0.13464696223316913,0.15024666855684715,-0.2641438032166509,-0.20117590873882138,-0.48198757763975153,-0.42648180964574006,0.324074074074074,False,False
weak_consensus_min,0.15,2,180,False,0.13584288052373159,0.15079104054437195,-0.26495565200981314,-0.20248434904553708,-0.48235294117647054,-0.45786146931909233,0.375,0.13584288052373159,0.15079104054437195,-0.26495565200981314,-0.20139622847360586,-0.48235294117647054,-0.426566272939046,0.324074074074074,False,False
weak_consensus_min,0.15,3,90,True,0.3526570048309179,0.05671038663059485,-0.1721611721611721,-0.11483605484241297,-0.3333333333333333,-0.3111460517120894,0.16666666666666666,0.3526570048309179,0.05671038663059485,-0.1721611721611721,-0.11892158582473168,-0.3333333333333333,-0.278708095829725,0.1111111111111111,False,False
weak_consensus_min,0.15,3,90,False,0.3526570048309179,0.05671038663059485,-0.1721611721611721,-0.11483605484241297,-0.3333333333333333,-0.3111460517120894,0.16666666666666666,0.3526570048309179,0.05671038663059485,-0.1721611721611721,-0.11968978096213566,-0.3333333333333333,-0.278708095829725,0.1111111111111111,False,False
weak_consensus_min,0.15,3,180,True,0.2303206997084548,0.08764388999149417,-0.19258898098488542,-0.14045165736567108,-0.4252427184466019,-0.37604661321459265,0.25,0.2303206997084548,0.08764388999149417,-0.19258898098488542,-0.1414042319584766,-0.4252427184466019,-0.33829874520798237,0.2407407407407407,False,False
weak_consensus_min,0.15,3,180,False,0.2303206997084548,0.08764388999149417,-0.19258898098488542,-0.14045165736567108,-0.4252427184466019,-0.37604661321459265,0.25,0.2303206997084548,0.08764388999149417,-0.19258898098488542,-0.14210065781655767,-0.4252427184466019,-0.33829874520798237,0.2407407407407407,False,False
weak_consensus_min,0.15,4,90,True,0.43724696356275305,0.043560152049587346,-0.13061224489795914,-0.0757903570738365,-0.25212523325730873,-0.23251422953188017,0.0,0.43724696356275305,0.043560152049587346,-0.13061224489795914,-0.08385142902878741,-0.25212523325730873,-0.21720636188772025,0.0,False,False
weak_consensus_min,0.15,4,90,False,0.43724696356275305,0.043560152049587346,-0.13061224489795914,-0.0757903570738365,-0.25212523325730873,-0.23251422953188017,0.0,0.43724696356275305,0.043560152049587346,-0.13061224489795914,-0.08454766790332086,-0.25212523325730873,-0.21720636188772025,0.0,False,False
