ratio_threshold,recent_regularity,historical_q999_multiplier,tp,fp,fn,precision,recall,f1,false_gap_alerts_per_station_day
30.0,0.8,1.0,3,1,4,0.75,0.42857142857142855,0.5454545454545454,0.0004072213926971631
30.0,0.8,1.5,3,1,4,0.75,0.42857142857142855,0.5454545454545454,0.0004072213926971631
40.0,0.8,1.0,3,1,4,0.75,0.42857142857142855,0.5454545454545454,0.0004072213926971631
40.0,0.8,1.5,3,1,4,0.75,0.42857142857142855,0.5454545454545454,0.0004072213926971631
40.0,0.7,1.5,3,2,4,0.6,0.42857142857142855,0.5,0.0008144427853943261
40.0,0.8,0.0,3,2,4,0.6,0.42857142857142855,0.5,0.0008144427853943261
30.0,0.7,1.5,3,3,4,0.5,0.42857142857142855,0.4615384615384615,0.0012216641780914892
40.0,0.7,1.0,3,3,4,0.5,0.42857142857142855,0.4615384615384615,0.0012216641780914892
30.0,0.8,3.0,2,0,5,1.0,0.2857142857142857,0.4444444444444445,0.0
40.0,0.8,3.0,2,0,5,1.0,0.2857142857142857,0.4444444444444445,0.0
30.0,0.7,1.0,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0016288855707886523
40.0,0.5,1.5,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0016288855707886523
30.0,0.7,3.0,2,1,5,0.6666666666666666,0.2857142857142857,0.4,0.0004072213926971631
30.0,0.8,2.0,2,1,5,0.6666666666666666,0.2857142857142857,0.4,0.0004072213926971631
40.0,0.7,3.0,2,1,5,0.6666666666666666,0.2857142857142857,0.4,0.0004072213926971631
40.0,0.8,2.0,2,1,5,0.6666666666666666,0.2857142857142857,0.4,0.0004072213926971631
12.0,0.8,1.5,6,17,1,0.2608695652173913,0.8571428571428571,0.4,0.006922763675851771
30.0,0.5,1.5,3,5,4,0.375,0.42857142857142855,0.39999999999999997,0.002036106963485815
10.0,0.8,1.5,6,18,1,0.25,0.8571428571428571,0.3870967741935483,0.0073299850685489346
40.0,0.5,1.0,3,6,4,0.3333333333333333,0.42857142857142855,0.375,0.0024433283561829783
12.0,0.7,1.5,6,19,1,0.24,0.8571428571428571,0.375,0.007737206461246098
