score_col,threshold,min_points,max_gap_minutes,min_precision,max_false_alarm,min_point_f1_delta,mean_point_f1_delta,min_event_f1_delta,mean_event_f1_delta,mean_weak_recall_delta,passes_discovery
weak6_min,0.1,2,90,0.3194444444444444,0.059603074353978894,-0.04224355288185078,-0.014035325394104847,-0.30991432068543456,-0.28311564022951735,0.2916666666666667,False
weak6_min,0.1,2,180,0.3116883116883117,0.06268599199297781,-0.04554246527167227,-0.013557033823841574,-0.3246511627906977,-0.2960510715914273,0.2916666666666667,False
weak6_min,0.1,2,360,0.3116883116883117,0.06371363120597744,-0.04771911391296735,-0.014645358144489112,-0.3246511627906977,-0.2978332498092491,0.2916666666666667,False
weak6_min,0.1,3,90,0.5,0.032884454815988354,-0.00107358969353899,0.01733168650485792,-0.1804087385482735,-0.16107271661307232,0.20833333333333334,False
weak6_min,0.1,3,180,0.48936170212765956,0.032884454815988354,-0.00107358969353899,0.018688717058968768,-0.19885406134142236,-0.17029537800964675,0.20833333333333334,False
weak6_min,0.1,3,360,0.48936170212765956,0.032884454815988354,-0.00107358969353899,0.018688717058968768,-0.19885406134142236,-0.17029537800964675,0.20833333333333334,False
weak6_min,0.1,4,90,0.6666666666666666,0.027746258750990176,0.020256135517118135,0.032313945072491065,-0.10437405731523386,-0.09525335079370656,0.20833333333333334,False
weak6_min,0.1,4,180,0.6666666666666666,0.027746258750990176,0.020256135517118135,0.032313945072491065,-0.10437405731523386,-0.09525335079370656,0.20833333333333334,False
weak6_min,0.1,4,360,0.6666666666666666,0.026718619537990537,0.01883335030031552,0.03160255246408976,-0.09620098039215685,-0.09116681233216806,0.20833333333333334,False
weak6_min,0.1,6,90,0.7973856209150327,0.018497505833993448,0.038650457420028234,0.04095194565049347,-0.02030812324929976,-0.008131816933042213,0.20833333333333334,False
weak6_min,0.1,6,180,0.7973856209150327,0.018497505833993448,0.038650457420028234,0.04095194565049347,-0.02030812324929976,-0.008131816933042213,0.20833333333333334,False
weak6_min,0.1,6,360,0.7922077922077922,0.019525145046993087,0.038650457420028234,0.04017199423763067,-0.030959752321981338,-0.013457631469383002,0.20833333333333334,False
weak6_min,0.2,2,90,0.6226415094339622,0.02877389796398981,-0.007014880048587913,0.0024916001292814294,-0.11229946524064172,-0.10847531401566973,0.16666666666666669,False
weak6_min,0.2,2,180,0.625,0.02877389796398981,0.002274301894749503,0.007136191100950137,-0.11408512505484869,-0.1131922951477452,0.16666666666666669,False
weak6_min,0.2,2,360,0.625,0.02877389796398981,0.002274301894749503,0.007136191100950137,-0.11408512505484869,-0.1131922951477452,0.16666666666666669,False
weak6_min,0.2,3,90,0.75,0.016442227407994177,-0.0025677736624233616,0.010183369316895494,-0.026873385012919915,-0.01234736788772356,0.16666666666666669,False
weak6_min,0.2,3,180,0.7555555555555555,0.016442227407994177,0.0024520454404370062,0.012693278868325678,-0.026873385012919915,-0.01234736788772356,0.16666666666666669,False
weak6_min,0.2,3,360,0.7555555555555555,0.016442227407994177,0.0024520454404370062,0.012693278868325678,-0.026873385012919915,-0.01234736788772356,0.16666666666666669,False
weak6_min,0.2,4,90,0.7857142857142857,0.015414588194994541,-0.0015492472849050198,0.010420653176083705,-0.01374207188160681,0.0001581908442502833,0.16666666666666669,False
weak6_min,0.2,4,180,0.7857142857142857,0.015414588194994541,-0.0015492472849050198,0.010420653176083705,-0.01374207188160681,0.0001581908442502833,0.16666666666666669,False
weak6_min,0.2,4,360,0.7857142857142857,0.015414588194994541,-0.0015492472849050198,0.010420653176083705,-0.01374207188160681,0.0001581908442502833,0.16666666666666669,False
weak6_min,0.2,6,90,0.8115942028985508,0.014386948981994906,-0.0005193088471343588,0.007243145128504436,-0.01374207188160681,0.00632655078619504,0.16666666666666669,False
weak6_min,0.2,6,180,0.8115942028985508,0.014386948981994906,-0.0005193088471343588,0.007243145128504436,-0.01374207188160681,0.00632655078619504,0.16666666666666669,False
weak6_min,0.2,6,360,0.8115942028985508,0.014386948981994906,-0.0005193088471343588,0.007243145128504436,-0.01374207188160681,0.00632655078619504,0.16666666666666669,False
weak6_min,0.3,2,90,0.7674418604651163,0.016442227407994177,-0.0020599250936329805,0.0012096791105183219,-0.0514596734289956,-0.024640512095761402,0.16666666666666669,False
weak6_min,0.3,2,180,0.75,0.016442227407994177,-0.0025677736624233616,0.0009557548261231313,-0.06298449612403112,-0.030402923443279162,0.16666666666666669,False
weak6_min,0.3,2,360,0.75,0.016442227407994177,-0.0025677736624233616,0.0009557548261231313,-0.06298449612403112,-0.030402923443279162,0.16666666666666669,False
weak6_min,0.3,3,90,0.8074074074074075,0.014386948981994906,0.0,0.0018906258818217614,0.0,0.013197586726998445,0.16666666666666669,True
weak6_min,0.3,3,180,0.8074074074074075,0.014386948981994906,0.0,0.0018906258818217614,0.0,0.013197586726998445,0.16666666666666669,True
weak6_min,0.3,3,360,0.8074074074074075,0.014386948981994906,0.0,0.0018906258818217614,0.0,0.013197586726998445,0.16666666666666669,True
weak6_min,0.3,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.3,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.3,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.3,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.3,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.3,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,2,90,0.8048780487804879,0.014386948981994906,-0.0010357165275249602,-0.0005178582637624801,-0.026873385012919915,-0.013436692506459957,0.0,False
weak6_min,0.4,2,180,0.7857142857142857,0.014386948981994906,-0.0015492472849050198,-0.0007746236424525099,-0.03943377148634997,-0.019716885743174983,0.0,False
weak6_min,0.4,2,360,0.7857142857142857,0.014386948981994906,-0.0015492472849050198,-0.0007746236424525099,-0.03943377148634997,-0.019716885743174983,0.0,False
weak6_min,0.4,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.4,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,2,90,0.8048780487804879,0.014386948981994906,-0.0010357165275249602,-0.0005178582637624801,-0.026873385012919915,-0.013436692506459957,0.0,False
weak6_min,0.5,2,180,0.7857142857142857,0.014386948981994906,-0.0015492472849050198,-0.0007746236424525099,-0.03943377148634997,-0.019716885743174983,0.0,False
weak6_min,0.5,2,360,0.7857142857142857,0.014386948981994906,-0.0015492472849050198,-0.0007746236424525099,-0.03943377148634997,-0.019716885743174983,0.0,False
weak6_min,0.5,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.5,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,2,90,0.8059701492537313,0.014386948981994906,-0.0005193088471343588,-0.0002596544235671794,-0.01374207188160681,-0.006871035940803405,0.0,False
weak6_min,0.6,2,180,0.8059701492537313,0.014386948981994906,-0.0005193088471343588,-0.0002596544235671794,-0.01374207188160681,-0.006871035940803405,0.0,False
weak6_min,0.6,2,360,0.8059701492537313,0.014386948981994906,-0.0005193088471343588,-0.0002596544235671794,-0.01374207188160681,-0.006871035940803405,0.0,False
weak6_min,0.6,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.6,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,2,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,2,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,2,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.7,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,2,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,2,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
