score_col,threshold,min_f1_delta,mean_f1_delta,min_macro_delta,max_fault_to_weather,mean_weather_f1,passes_discovery
weather6_mean,0.05,-0.45245979186376534,-0.33469215253364315,-0.22426306464767876,0.0743801652892562,0.3055769986050732,False
weather6_mean,0.07500000000000001,-0.3100830936401406,-0.2155487931968819,-0.06521132171399519,0.04132231404958678,0.4247203579418345,False
weather6_mean,0.1,-0.18233082706766912,-0.12210817079841835,-0.05062051986333488,0.02066115702479339,0.518160980340298,False
weather6_mean,0.125,-0.07697581650461227,-0.04899515462911774,-0.050397444883394926,0.01652892561983471,0.5912739965095986,False
weather6_mean,0.15000000000000002,-0.005260243632336681,0.0139459651403534,-0.03062017219369928,0.012396694214876033,0.6542151162790697,False
weather6_mean,0.175,0.0222757814782355,0.02926599111845829,-0.037561466087175366,0.008264462809917356,0.6695351422571747,False
weather6_mean,0.2,0.07119514472455657,0.07229227245748615,-0.025771486046909764,0.0031545741324921135,0.7125614235962026,False
weather6_mean,0.22500000000000003,0.06787439613526569,0.08865017915047696,-0.028915167762020078,0.0031545741324921135,0.7289193302891933,False
weather6_mean,0.25,0.02377717391304346,0.07536677543471021,-0.06507542973915131,0.0031545741324921135,0.7156359265734266,False
weather6_mean,0.275,0.021652173913043415,0.09626026062598952,-0.06669430115450753,0.0031545741324921135,0.7365294117647059,False
weather6_mean,0.3,0.01942266571632212,0.10873730688413508,-0.06075386477928851,0.0031545741324921135,0.7490064580228515,False
weather6_mean,0.325,-0.01521739130434785,0.09852683548335722,-0.07226000569719415,0.0031545741324921135,0.7387959866220736,False
weather6_mean,0.35000000000000003,-0.0056752597152751605,0.10329790127789357,-0.061270994708183146,0.0031545741324921135,0.7435670524166099,False
weather6_mean,0.375,-0.031825303564434027,0.09022287935331413,-0.06949211448139364,0.0031545741324921135,0.7304920304920305,False
weather6_mean,0.4,-0.031825303564434027,0.0897421101225449,-0.06949211448139364,0.0,0.7300112612612613,False
weather6_mean,0.425,-0.040586358197048256,0.09280205899671395,-0.0983382683275475,0.0,0.7330712101354303,False
weather6_mean,0.45,-0.040586358197048256,0.09661158280623777,-0.0983382683275475,0.0,0.7368807339449541,False
weather6_mean,0.47500000000000003,-0.040586358197048256,0.09661158280623777,-0.0983382683275475,0.0,0.7368807339449541,False
weather6_mean,0.5,-0.040586358197048256,0.09661158280623777,-0.0983382683275475,0.0,0.7368807339449541,False
weather6_mean,0.525,-0.06378178835110748,0.08501386772920816,-0.13669012364237665,0.0,0.7252830188679245,False
weather6_mean,0.55,-0.07815734989648038,0.07363253856942498,-0.14105627841503549,0.0,0.7139016897081414,False
weather6_mean,0.5750000000000001,-0.09280936454849498,0.05771319438461281,-0.14553158705701078,0.0,0.6979823455233292,False
weather6_mean,0.6000000000000001,-0.12297527706734868,0.042083790037754254,-0.1548264588518826,0.0,0.6823529411764706,False
weather6_mean,0.6250000000000001,-0.17050944224857273,0.018316707447142228,-0.16969825372367747,0.0,0.6585858585858586,False
