score,threshold,min_f1,mean_f1
phase10_weather,0.02,0.3018867924528302,0.5871673923560716
phase10_weather,0.04,0.2857142857142857,0.596185064935065
phase10_weather,0.06,0.27607361963190186,0.5779038723548359
phase10_weather,0.08,0.2625,0.5754125612448177
phase10_weather,0.1,0.25806451612903225,0.5780823991396441
phase10_weather,0.12000000000000001,0.2565789473684211,0.575705019082931
phase10_weather,0.13999999999999999,0.25165562913907286,0.5740639130064816
phase10_weather,0.16,0.24749163879598662,0.5729308141999679
phase10_weather,0.18,0.23728813559322035,0.5695296464657125
phase10_weather,0.19999999999999998,0.23728813559322035,0.5695296464657125
phase10_weather,0.22,0.23367697594501718,0.5641936951780194
phase10_weather,0.24,0.23367697594501718,0.5641936951780194
phase10_weather,0.26,0.2152777777777778,0.5580606291222728
phase10_weather,0.28,0.21602787456445993,0.5563133579756545
phase10_weather,0.30000000000000004,0.21602787456445993,0.5563133579756545
phase10_weather,0.32,0.2097902097902098,0.5542341363842378
phase10_weather,0.34,0.21052631578947367,0.5544795050506591
phase10_weather,0.36000000000000004,0.21052631578947367,0.5520848690353334
phase10_weather,0.38,0.20640569395017794,0.5507113284222348
phase10_weather,0.4,0.2,0.5485760971055088
phase10_weather,0.42000000000000004,0.1956521739130435,0.54712682174319
phase10_weather,0.44,0.19636363636363635,0.5387451437451437
phase10_weather,0.46,0.19708029197080293,0.5412179061814099
phase10_weather,0.48000000000000004,0.19330855018587362,0.5399606589197667
phase10_weather,0.5,0.19330855018587362,0.5399606589197667
phase10_weather,0.52,0.1865671641791045,0.5377135302508437
phase10_weather,0.54,0.1797752808988764,0.5354495691574344
phase10_weather,0.56,0.1797752808988764,0.5310287026676023
phase10_weather,0.5800000000000001,0.17424242424242425,0.5246866659910138
phase10_weather,0.6,0.16730038022813687,0.5223726513195847
phase10_weather,0.62,0.16153846153846155,0.5204520117563596
phase10_weather,0.64,0.16216216216216217,0.5206599119642598
phase10_weather,0.66,0.16342412451361868,0.521080566081412
phase10_weather,0.68,0.14901960784313725,0.518544400818094
phase10_weather,0.7000000000000001,0.15019762845849802,0.5072720938561319
phase10_weather,0.7200000000000001,0.15019762845849802,0.5025312594692798
phase10_weather,0.74,0.15019762845849802,0.497705004643025
phase10_weather,0.76,0.15019762845849802,0.4950875211744777
phase10_weather,0.78,0.15019762845849802,0.4950875211744777
phase10_weather,0.8,0.14342629482071714,0.4903638118118327
phase10_weather,0.8200000000000001,0.1285140562248996,0.4853930656132268
phase10_weather,0.8400000000000001,0.1214574898785425,0.47299548419286763
phase10_weather,0.86,0.10655737704918032,0.46293193995718823
phase10_weather,0.88,0.06694560669456066,0.44195969554286346
phase10_weather,0.9,0.059322033898305086,0.3922050889936706
cat_weather_mean,0.02,0.010111953773925604,0.018770897460970305
cat_weather_mean,0.04,0.025436046511627907,0.04174036710082215
cat_weather_mean,0.06,0.055666003976143144,0.07774895294824861
cat_weather_mean,0.08,0.10638297872340426,0.13195911895686904
cat_weather_mean,0.1,0.1715686274509804,0.1935313046502363
cat_weather_mean,0.12000000000000001,0.25045372050816694,0.254997314612892
cat_weather_mean,0.13999999999999999,0.2975708502024291,0.3268989575635595
cat_weather_mean,0.16,0.33047735618115054,0.3845624756638453
cat_weather_mean,0.18,0.3691860465116279,0.4491936174746822
cat_weather_mean,0.19999999999999998,0.39464882943143814,0.4991039932991941
cat_weather_mean,0.22,0.4105461393596987,0.5342627639420222
cat_weather_mean,0.24,0.4369747899159664,0.5611338876117642
cat_weather_mean,0.26,0.42790697674418604,0.5829500857286734
cat_weather_mean,0.28,0.4253164556962025,0.6012541903281411
cat_weather_mean,0.30000000000000004,0.41530054644808745,0.6219849311698401
cat_weather_mean,0.32,0.41714285714285715,0.6384183914245264
cat_weather_mean,0.34,0.39759036144578314,0.6428273211231905
cat_weather_mean,0.36000000000000004,0.38769230769230767,0.6390695553853448
cat_weather_mean,0.38,0.389937106918239,0.6464359120962895
cat_weather_mean,0.4,0.3741935483870968,0.6456941779228279
cat_weather_mean,0.42000000000000004,0.348993288590604,0.62930251510436
cat_weather_mean,0.44,0.3389830508474576,0.6286933199288239
cat_weather_mean,0.46,0.303886925795053,0.6147171378281829
cat_weather_mean,0.48000000000000004,0.2826086956521739,0.5905078817044261
cat_weather_mean,0.5,0.25830258302583026,0.5883276510051842
cat_weather_mean,0.52,0.23220973782771537,0.5693776888286557
cat_weather_mean,0.54,0.21212121212121213,0.5649382927461571
cat_weather_mean,0.56,0.19923371647509577,0.5553797772559359
cat_weather_mean,0.5800000000000001,0.16535433070866143,0.5374624859187832
cat_weather_mean,0.6,0.13654618473895583,0.5096179590155493
cat_weather_mean,0.62,0.12903225806451613,0.5000493820934225
cat_weather_mean,0.64,0.09836065573770492,0.48396578200145424
cat_weather_mean,0.66,0.058823529411764705,0.45916828269769444
cat_weather_mean,0.68,0.0423728813559322,0.4399723453692748
cat_weather_mean,0.7000000000000001,0.02564102564102564,0.42066298811388386
