temperature,pressure,humidity,min_precision,max_false_alarm,min_event_recall,mean_event_f1,min_event_f1_delta,mean_event_f1_delta,min_frozen_recall,mean_frozen_recall
None,None,None,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.0,0.0,0.0,0.16666666666666666
None,None,"(16, 10.0)",0.7941176470588235,0.018507807981492187,0.7037037037037037,0.5954475308641975,-0.011180992313067795,-0.005123045547654859,0.0,0.4444444444444444
None,None,"(12, 10.0)",0.7653061224489796,0.023406933623651885,0.7037037037037037,0.5575373082353536,-0.049275362318840554,-0.0430332681764987,0.0,0.4444444444444444
None,None,"(20, 5.0)",0.7474747474747475,0.020685197155785387,0.7037037037037037,0.5854847458621043,-0.024242424242424176,-0.015085830549747992,0.0,0.4444444444444444
None,"(12, 5.0)",None,0.7816901408450704,0.019596502568638787,0.6666666666666666,0.5799342457719354,-0.04237007613373056,-0.020636330639916916,0.0,0.27777777777777773
None,"(12, 5.0)","(16, 10.0)",0.7762237762237763,0.021229544449358685,0.7037037037037037,0.5692560313249968,-0.05204944697462588,-0.03131454508685553,0.0,0.4444444444444444
None,"(12, 5.0)","(12, 10.0)",0.7575757575757576,0.026128670091518383,0.7037037037037037,0.5341687552213868,-0.0716223548562126,-0.06640182119046556,0.0,0.4444444444444444
None,"(12, 5.0)","(20, 5.0)",0.74,0.022318239036505285,0.7037037037037037,0.563105117142603,-0.04237007613373056,-0.03746545926924927,0.0,0.4444444444444444
None,"(16, 3.0)",None,0.8,0.01796346068791889,0.6666666666666666,0.598536773199846,-0.006101409636019239,-0.002033803212006413,0.0,0.16666666666666666
None,"(16, 3.0)","(16, 10.0)",0.7941176470588235,0.019052155275065485,0.7037037037037037,0.5934673328443956,-0.011180992313067795,-0.007103243567456841,0.0,0.4444444444444444
None,"(16, 3.0)","(12, 10.0)",0.7653061224489796,0.023951280917225183,0.7037037037037037,0.5558692515214254,-0.052483598875351256,-0.04470132489042692,0.0,0.4444444444444444
None,"(16, 3.0)","(20, 5.0)",0.7474747474747475,0.020685197155785387,0.7037037037037037,0.5854847458621043,-0.024242424242424176,-0.015085830549747992,0.0,0.4444444444444444
None,"(20, 2.0)",None,0.8,0.01796346068791889,0.6666666666666666,0.598536773199846,-0.006101409636019239,-0.002033803212006413,0.0,0.16666666666666666
None,"(20, 2.0)","(16, 10.0)",0.7941176470588235,0.019052155275065485,0.7037037037037037,0.5934673328443956,-0.011180992313067795,-0.007103243567456841,0.0,0.4444444444444444
None,"(20, 2.0)","(12, 10.0)",0.7653061224489796,0.023951280917225183,0.7037037037037037,0.5558692515214254,-0.052483598875351256,-0.04470132489042692,0.0,0.4444444444444444
None,"(20, 2.0)","(20, 5.0)",0.7474747474747475,0.020685197155785387,0.7037037037037037,0.5854847458621043,-0.024242424242424176,-0.015085830549747992,0.0,0.4444444444444444
"(4, 5.0)",None,None,0.2766798418972332,0.12247814105399242,0.6666666666666666,0.22812695098949232,-0.3856093772066091,-0.37244362542236004,0.0,0.27777777777777773
"(4, 5.0)",None,"(16, 10.0)",0.27307692307692305,0.12356683564113902,0.7037037037037037,0.23140164393719168,-0.38155136268343814,-0.36916893247466076,0.0,0.5555555555555555
"(4, 5.0)",None,"(12, 10.0)",0.2757352941176471,0.1284659612832987,0.7037037037037037,0.2259897392383781,-0.3874118285404231,-0.3745808371734743,0.0,0.5555555555555555
"(4, 5.0)",None,"(20, 5.0)",0.27106227106227104,0.1257442248154322,0.7037037037037037,0.2298262252192572,-0.38389132158742184,-0.3707443511925952,0.0,0.5555555555555555
"(4, 5.0)","(12, 5.0)",None,0.2755905511811024,0.12465553022828561,0.6666666666666666,0.2265835442613003,-0.38608651007572836,-0.37398703215055207,0.0,0.38888888888888884
"(4, 5.0)","(12, 5.0)","(16, 10.0)",0.2720306513409962,0.12628857210900551,0.7037037037037037,0.22762762762762764,-0.3875573686894441,-0.3729429487842247,0.0,0.5555555555555555
"(4, 5.0)","(12, 5.0)","(12, 10.0)",0.27472527472527475,0.1311876977511652,0.7037037037037037,0.22234871069801507,-0.3908184032295732,-0.37822186571383726,0.0,0.5555555555555555
"(4, 5.0)","(12, 5.0)","(20, 5.0)",0.27007299270072993,0.12737726669615212,0.7037037037037037,0.22653586821041882,-0.38608651007572836,-0.37403470820143353,0.0,0.5555555555555555
"(4, 5.0)","(16, 3.0)",None,0.2766798418972332,0.12247814105399242,0.6666666666666666,0.22812695098949232,-0.3856093772066091,-0.37244362542236004,0.0,0.27777777777777773
"(4, 5.0)","(16, 3.0)","(16, 10.0)",0.27307692307692305,0.12356683564113902,0.7037037037037037,0.23140164393719168,-0.38155136268343814,-0.36916893247466076,0.0,0.5555555555555555
"(4, 5.0)","(16, 3.0)","(12, 10.0)",0.2757352941176471,0.1284659612832987,0.7037037037037037,0.2259897392383781,-0.3874118285404231,-0.3745808371734743,0.0,0.5555555555555555
"(4, 5.0)","(16, 3.0)","(20, 5.0)",0.27106227106227104,0.1251998775218589,0.7037037037037037,0.2300656511954792,-0.3831730436587558,-0.37050492521637324,0.0,0.5555555555555555
"(4, 5.0)","(20, 2.0)",None,0.2766798418972332,0.12302248834756571,0.6666666666666666,0.22788539380277642,-0.38633404876675687,-0.37268518260907596,0.0,0.27777777777777773
"(4, 5.0)","(20, 2.0)","(16, 10.0)",0.27307692307692305,0.12411118293471232,0.7037037037037037,0.23115733182847278,-0.38172192811368055,-0.3694132445833796,0.0,0.5555555555555555
"(4, 5.0)","(20, 2.0)","(12, 10.0)",0.2757352941176471,0.129010308576872,0.7037037037037037,0.2257596558331437,-0.3881020787561263,-0.3748109205787087,0.0,0.5555555555555555
"(4, 5.0)","(20, 2.0)","(20, 5.0)",0.27106227106227104,0.1257442248154322,0.7037037037037037,0.2298262252192572,-0.38389132158742184,-0.3707443511925952,0.0,0.5555555555555555
"(8, 4.0)",None,None,0.41916167664670656,0.041370394311570774,0.6666666666666666,0.4089753275978325,-0.22886597938144332,-0.19159524881401988,0.0,0.16666666666666666
"(8, 4.0)",None,"(16, 10.0)",0.40804597701149425,0.04245908889871737,0.7037037037037037,0.4104201516042016,-0.22376237623762374,-0.19015042480765085,0.0,0.4444444444444444
"(8, 4.0)",None,"(12, 10.0)",0.4032258064516129,0.04735821454087707,0.7037037037037037,0.39243803181650017,-0.2415094339622641,-0.20813254459535221,0.0,0.4444444444444444
"(8, 4.0)",None,"(20, 5.0)",0.39572192513368987,0.04463647807301057,0.7037037037037037,0.4062606295616004,-0.23106796116504852,-0.19430994685025196,0.0,0.4444444444444444
"(8, 4.0)","(12, 5.0)",None,0.4166666666666667,0.043547783485863974,0.6666666666666666,0.3997861581546822,-0.23265306122448975,-0.20078441825717017,0.0,0.27777777777777773
"(8, 4.0)","(12, 5.0)","(16, 10.0)",0.4057142857142857,0.04518082536658387,0.7037037037037037,0.39693933298354933,-0.22745098039215683,-0.20363124342830305,0.0,0.4444444444444444
"(8, 4.0)","(12, 5.0)","(12, 10.0)",0.40106951871657753,0.050079951008743566,0.7037037037037037,0.3799834378327221,-0.24485981308411214,-0.22058713857913026,0.0,0.4444444444444444
"(8, 4.0)","(12, 5.0)","(20, 5.0)",0.39361702127659576,0.04626951995373047,0.7037037037037037,0.3945960801136821,-0.23461538461538456,-0.2059744962981703,0.0,0.4444444444444444
"(8, 4.0)","(16, 3.0)",None,0.41916167664670656,0.04191474160514407,0.6666666666666666,0.4080097230961177,-0.22886597938144332,-0.19256085331573466,0.0,0.16666666666666666
"(8, 4.0)","(16, 3.0)","(16, 10.0)",0.40804597701149425,0.04300343619229067,0.7037037037037037,0.40946229719807126,-0.22376237623762374,-0.19110827921378112,0.0,0.4444444444444444
"(8, 4.0)","(16, 3.0)","(12, 10.0)",0.4032258064516129,0.047902561834450366,0.7037037037037037,0.3915892074382641,-0.2415094339622641,-0.2089813689735883,0.0,0.4444444444444444
"(8, 4.0)","(16, 3.0)","(20, 5.0)",0.39572192513368987,0.04463647807301057,0.7037037037037037,0.4062606295616004,-0.23106796116504852,-0.19430994685025196,0.0,0.4444444444444444
"(8, 4.0)","(20, 2.0)",None,0.41916167664670656,0.04191474160514407,0.6666666666666666,0.4080097230961177,-0.22886597938144332,-0.19256085331573466,0.0,0.16666666666666666
"(8, 4.0)","(20, 2.0)","(16, 10.0)",0.40804597701149425,0.04300343619229067,0.7037037037037037,0.40946229719807126,-0.22376237623762374,-0.19110827921378112,0.0,0.4444444444444444
"(8, 4.0)","(20, 2.0)","(12, 10.0)",0.4032258064516129,0.047902561834450366,0.7037037037037037,0.3915892074382641,-0.2415094339622641,-0.2089813689735883,0.0,0.4444444444444444
"(8, 4.0)","(20, 2.0)","(20, 5.0)",0.39572192513368987,0.04463647807301057,0.7037037037037037,0.4062606295616004,-0.23106796116504852,-0.19430994685025196,0.0,0.4444444444444444
"(12, 3.0)",None,None,0.4794520547945205,0.02939475385295818,0.6666666666666666,0.4781186187212012,-0.16097560975609754,-0.12245195769065119,0.0,0.16666666666666666
"(12, 3.0)",None,"(16, 10.0)",0.46405228758169936,0.03048344844010478,0.7037037037037037,0.47962070073931207,-0.1529411764705882,-0.12094987567254024,0.0,0.4444444444444444
"(12, 3.0)",None,"(12, 10.0)",0.45454545454545453,0.03538257408226447,0.7037037037037037,0.45502865808209325,-0.17777777777777776,-0.14554191832975916,0.0,0.4444444444444444
"(12, 3.0)",None,"(20, 5.0)",0.4484848484848485,0.03211649032082468,0.7037037037037037,0.4749060390439701,-0.16321839080459766,-0.1256645373678823,0.0,0.4444444444444444
"(12, 3.0)","(12, 5.0)",None,0.47619047619047616,0.03048344844010478,0.6666666666666666,0.46771671958202266,-0.16626506024096382,-0.13285385682982967,0.0,0.27777777777777773
"(12, 3.0)","(12, 5.0)","(16, 10.0)",0.461038961038961,0.03211649032082468,0.7037037037037037,0.4641495668034656,-0.15813953488372096,-0.13642100960838685,0.0,0.4444444444444444
"(12, 3.0)","(12, 5.0)","(12, 10.0)",0.45180722891566266,0.037015615962984375,0.7037037037037037,0.44082882291837516,-0.18241758241758238,-0.1597417534934772,0.0,0.4444444444444444
"(12, 3.0)","(12, 5.0)","(20, 5.0)",0.4457831325301205,0.03320518490797128,0.7037037037037037,0.4606236889995263,-0.1681818181818182,-0.13994688741232605,0.0,0.4444444444444444
"(12, 3.0)","(16, 3.0)",None,0.4794520547945205,0.02993910114653148,0.6666666666666666,0.47676474383791456,-0.16097560975609754,-0.12380583257393778,0.0,0.16666666666666666
"(12, 3.0)","(16, 3.0)","(16, 10.0)",0.46405228758169936,0.03102779573367808,0.7037037037037037,0.4782879005260641,-0.1529411764705882,-0.12228267588578824,0.0,0.4444444444444444
"(12, 3.0)","(16, 3.0)","(12, 10.0)",0.45454545454545453,0.03592692137583778,0.7037037037037037,0.4538720538720539,-0.17777777777777776,-0.14669852253979848,0.0,0.4444444444444444
"(12, 3.0)","(16, 3.0)","(20, 5.0)",0.4484848484848485,0.03211649032082468,0.7037037037037037,0.4749060390439701,-0.16321839080459766,-0.1256645373678823,0.0,0.4444444444444444
"(12, 3.0)","(20, 2.0)",None,0.4794520547945205,0.02993910114653148,0.6666666666666666,0.47676474383791456,-0.16097560975609754,-0.12380583257393778,0.0,0.16666666666666666
"(12, 3.0)","(20, 2.0)","(16, 10.0)",0.46405228758169936,0.03102779573367808,0.7037037037037037,0.4782879005260641,-0.1529411764705882,-0.12228267588578824,0.0,0.4444444444444444
"(12, 3.0)","(20, 2.0)","(12, 10.0)",0.45454545454545453,0.03592692137583778,0.7037037037037037,0.4538720538720539,-0.17777777777777776,-0.14669852253979848,0.0,0.4444444444444444
"(12, 3.0)","(20, 2.0)","(20, 5.0)",0.4484848484848485,0.03211649032082468,0.7037037037037037,0.4749060390439701,-0.16321839080459766,-0.1256645373678823,0.0,0.4444444444444444
