score_col,threshold,min_points,max_gap_minutes,min_precision,max_false_alarm,min_point_f1_delta,mean_point_f1_delta,min_event_f1_delta,mean_event_f1_delta,min_weak_recall_delta,mean_weak_recall_delta,passes_discovery
weak7_min,0.1,2,90,0.21395348837209302,0.10481919972596287,-0.11319441901343985,-0.06282767330666925,-0.3956959389101007,-0.3839138851830437,0.08333333333333333,0.2916666666666667,False
weak7_min,0.1,2,180,0.21304347826086956,0.11304031342995997,-0.12023079697078981,-0.06323250301880493,-0.3963178294573644,-0.39107903579724385,0.16666666666666669,0.33333333333333337,False
weak7_min,0.1,3,90,0.36585365853658536,0.054464878288980716,-0.04194775990313104,-0.011397781892321393,-0.2673017652003363,-0.25172419888320313,0.08333333333333333,0.2916666666666667,False
weak7_min,0.1,3,180,0.36220472440944884,0.05652015671497999,-0.044103712636747394,-0.011144881928253247,-0.2790697674418606,-0.2617710122148811,0.08333333333333333,0.2916666666666667,False
weak7_min,0.1,4,90,0.5432098765432098,0.04007792930698581,-0.002406000849176859,0.016653134181023904,-0.1659125188536953,-0.15577364410088507,0.08333333333333333,0.2916666666666667,False
weak7_min,0.1,4,180,0.5432098765432098,0.04007792930698581,-0.002406000849176859,0.016653134181023904,-0.1659125188536953,-0.15577364410088507,0.08333333333333333,0.2916666666666667,False
weak7_min,0.1,6,90,0.7621951219512195,0.02363570189899163,0.03622836319465533,0.03876191244315094,-0.046805819101834345,-0.027856150520734146,0.08333333333333333,0.2916666666666667,False
weak7_min,0.1,6,180,0.7621951219512195,0.02363570189899163,0.03622836319465533,0.03876191244315094,-0.046805819101834345,-0.027856150520734146,0.08333333333333333,0.2916666666666667,False
weak7_min,0.15,2,90,0.3465346534653465,0.061658352779978165,-0.05363475177304966,-0.03578194768374003,-0.2638146167557932,-0.25701769989982776,0.08333333333333333,0.2916666666666667,False
weak7_min,0.15,2,180,0.3486238532110092,0.06371363120597744,-0.055795885936258505,-0.031392694247340105,-0.27101533682780043,-0.2592618212378205,0.16666666666666669,0.33333333333333337,False
weak7_min,0.15,3,90,0.5230769230769231,0.032884454815988354,-0.010957692496683213,-0.00917023985973052,-0.14173669467787114,-0.1359057931410641,0.08333333333333333,0.20833333333333334,False
weak7_min,0.15,3,180,0.5223880597014925,0.032884454815988354,-0.010957692496683213,-0.0070296421284914284,-0.14173669467787114,-0.1398605954009511,0.08333333333333333,0.20833333333333334,False
weak7_min,0.15,4,90,0.673469387755102,0.027746258750990176,-0.0050653895745072786,8.833512332297178e-05,-0.10437405731523386,-0.0945126100529658,0.0,0.16666666666666669,False
weak7_min,0.15,4,180,0.673469387755102,0.027746258750990176,-0.0050653895745072786,8.833512332297178e-05,-0.10437405731523386,-0.0945126100529658,0.0,0.16666666666666669,False
weak7_min,0.15,6,90,0.7866666666666666,0.018497505833993448,-0.0005193088471343588,0.013526711186506613,-0.02030812324929976,-0.017025097565453284,0.0,0.16666666666666669,False
