scope,station_id,cluster,weather_rows,baseline_f1,candidate_f1,f1_delta
block_may_jun,43245099999,chennai,9,0.5,0.5,0.0
block_may_jun,43275099999,chennai,7,0.0,0.0,0.0
block_may_jun,43278099999,chennai,6,0.25,0.25,0.0
block_may_jun,43279099999,chennai,58,0.7457627118644068,0.7457627118644068,0.0
block_jul_sep,42181099999,delhi,25,0.78125,0.78125,0.0
block_jul_sep,42182099999,delhi,4,0.8888888888888888,0.8888888888888888,0.0
block_jul_sep,42189099999,delhi,8,0.8421052631578947,0.8421052631578947,0.0
block_jul_sep,42348099999,delhi,25,0.8421052631578947,0.8421052631578947,0.0
oct_dec_discovery,43021099999,hyderabad,33,0.625,0.625,0.0
oct_dec_discovery,43128099999,hyderabad,55,0.4657534246575342,0.4657534246575342,0.0
oct_dec_discovery,43128599999,hyderabad,71,0.864,0.864,0.0
oct_dec_discovery,43181099999,hyderabad,58,0.4675324675324675,0.4675324675324675,0.0
pseudo_unseen_all_2023,42361099999,delhi,8,0.3018867924528302,0.3018867924528302,0.0
pseudo_unseen_all_2023,43213099999,hyderabad,12,0.0,0.0,0.0
pseudo_unseen_all_2023,43329099999,chennai,10,0.34782608695652173,0.34782608695652173,0.0
