split,scope,episode_id,label_category,anomaly_type,sensors,stations,cluster,start_utc,end_utc,affected_rows,random_seed,description
dwd_train,train,DWD_TRAIN-I8-WX-0001,genuine_weather_scenario,regional_heatwave,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-07-02T04:00:00+00:00,2022-07-03T04:00:00+00:00,96,8017,Coherent regional_heatwave across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0002,genuine_weather_scenario,regional_heatwave,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-07-24T23:00:00+00:00,2022-07-25T19:00:00+00:00,76,8017,Coherent regional_heatwave across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0003,genuine_weather_scenario,regional_heatwave,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-08-02T10:00:00+00:00,2022-08-02T23:00:00+00:00,48,8017,Coherent regional_heatwave across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0004,genuine_weather_scenario,regional_heatwave,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-03-08T23:00:00+00:00,2022-03-09T13:00:00+00:00,56,8017,Coherent regional_heatwave across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0005,genuine_weather_scenario,regional_cold_surge,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-05-21T20:00:00+00:00,2022-05-22T09:00:00+00:00,52,8017,Coherent regional_cold_surge across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0006,genuine_weather_scenario,regional_cold_surge,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-04-03T14:00:00+00:00,2022-04-04T12:00:00+00:00,86,8017,Coherent regional_cold_surge across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0007,genuine_weather_scenario,regional_cold_surge,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-03-02T16:00:00+00:00,2022-03-03T14:00:00+00:00,88,8017,Coherent regional_cold_surge across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0008,genuine_weather_scenario,regional_cold_surge,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-11-24T04:00:00+00:00,2022-11-25T09:00:00+00:00,114,8017,Coherent regional_cold_surge across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0009,genuine_weather_scenario,pressure_front,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-05-29T13:00:00+00:00,2022-05-30T07:00:00+00:00,68,8017,Coherent pressure_front across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0010,genuine_weather_scenario,pressure_front,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-07-24T06:00:00+00:00,2022-07-25T00:00:00+00:00,70,8017,Coherent pressure_front across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0011,genuine_weather_scenario,pressure_front,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-07-05T18:00:00+00:00,2022-07-06T18:00:00+00:00,96,8017,Coherent pressure_front across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0012,genuine_weather_scenario,pressure_front,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-10-08T16:00:00+00:00,2022-10-09T15:00:00+00:00,92,8017,Coherent pressure_front across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0013,genuine_weather_scenario,humidity_surge,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-03-11T02:00:00+00:00,2022-03-11T18:00:00+00:00,62,8017,Coherent humidity_surge across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0014,genuine_weather_scenario,humidity_surge,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-11-25T08:00:00+00:00,2022-11-25T22:00:00+00:00,54,8017,Coherent humidity_surge across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0015,genuine_weather_scenario,humidity_surge,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-11-22T12:00:00+00:00,2022-11-23T18:00:00+00:00,118,8017,Coherent humidity_surge across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0016,genuine_weather_scenario,humidity_surge,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-03-26T06:00:00+00:00,2022-03-27T01:00:00+00:00,72,8017,Coherent humidity_surge across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0017,genuine_weather_scenario,dry_intrusion,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-02-09T00:00:00+00:00,2022-02-10T00:00:00+00:00,94,8017,Coherent dry_intrusion across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0018,genuine_weather_scenario,dry_intrusion,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-09-29T23:00:00+00:00,2022-09-30T14:00:00+00:00,56,8017,Coherent dry_intrusion across at least three neighbour stations with causal spatial lag.
dwd_train,train,DWD_TRAIN-I8-WX-0019,genuine_weather_scenario,dry_intrusion,"temperature,pressure,humidity","DWD-00433,DWD-01048,DWD-01684,DWD-03987",dwd_east_continental,2022-10-08T04:00:00+00:00,2022-10-08T16:00:00+00:00,48,8017,Coherent dry_intrusion across at least three neighbour stations with causal spatial lag.
