scope,domain,anomaly_type,episodes,baseline_episode_recall,candidate_episode_recall
discovery,india,bias,3,0.3333333333333333,0.0
discovery,india,communication_corruption,2,1.0,1.0
discovery,india,drift,6,0.3333333333333333,0.16666666666666666
discovery,india,duplicate_packet,5,0.0,0.0
discovery,india,frozen_sensor,3,0.3333333333333333,0.3333333333333333
discovery,india,multi_sensor_failure,3,1.0,1.0
discovery,india,noise,4,1.0,0.75
discovery,india,scaling_error,5,1.0,1.0
discovery,india,spike,8,1.0,1.0
discovery,india,sudden_drop,3,0.6666666666666666,1.0
discovery,india,timestamp_error,4,1.0,0.75
discovery,india,unit_error,3,1.0,1.0
discovery,dwd_all,bias,4,0.0,0.0
discovery,dwd_all,drift,4,0.25,0.25
discovery,dwd_all,frozen_sensor,4,0.75,1.0
discovery,dwd_all,noise,4,0.0,0.5
discovery,dwd_all,spike,4,0.5,0.75
discovery,dwd_holdout,bias,1,0.0,0.0
discovery,dwd_holdout,drift,1,0.0,0.0
discovery,dwd_holdout,frozen_sensor,2,0.5,1.0
discovery,dwd_holdout,noise,1,0.0,1.0
confirmation,india,bias,4,0.5,0.5
confirmation,india,communication_corruption,4,1.0,1.0
confirmation,india,drift,2,0.5,0.5
confirmation,india,frozen_sensor,3,0.0,0.6666666666666666
confirmation,india,multi_sensor_failure,3,1.0,1.0
confirmation,india,noise,3,0.6666666666666666,0.6666666666666666
confirmation,india,scaling_error,3,1.0,1.0
confirmation,india,spike,2,1.0,1.0
confirmation,india,sudden_drop,5,1.0,1.0
confirmation,india,timestamp_error,4,1.0,1.0
confirmation,india,unit_error,3,1.0,1.0
confirmation,dwd_all,bias,4,0.75,0.5
confirmation,dwd_all,drift,4,0.0,0.0
confirmation,dwd_all,frozen_sensor,4,0.25,0.75
confirmation,dwd_all,noise,4,0.25,0.25
confirmation,dwd_all,spike,4,0.75,0.75
confirmation,dwd_holdout,bias,1,1.0,1.0
confirmation,dwd_holdout,drift,1,0.0,0.0
confirmation,dwd_holdout,frozen_sensor,3,0.3333333333333333,0.6666666666666666
confirmation,dwd_holdout,spike,1,1.0,1.0
