feature,importance
temperature_rolling_median_24h,1246.5
humidity_rolling_median_24h,1163.5
nearest_neighbor_km,1017.5
pressure_rolling_median_24h,936.5
neighbor_pressure_residual,818.5
pressure_climatology_residual,711.0
pressure_neighbor_residual_slope_24h,627.5
humidity_rolling_mad_24h,619.0
temperature_climatology_residual,603.0
temperature_rolling_mad_24h,587.5
neighbor_pressure_max_abs_difference,554.0
pressure_rolling_mad_24h,546.5
temperature_neighbor_residual_slope_24h,462.0
humidity_climatology_residual,451.5
neighbor_temperature_residual,415.0
humidity_neighbor_residual_slope_24h,375.5
neighbor_pressure_median,374.0
pressure_neighbor_residual_slope_12h,364.5
temperature_frozen_run_length,354.0
neighbor_pressure_weighted_mean,343.0
pressure_frozen_run_length,341.5
pressure_cusum_positive,339.5
neighbor_humidity_residual,335.0
pressure_slope_24h,325.5
temperature_rate_per_hour,325.5
pressure_ewma_prior,323.5
temperature_humidity_interaction,317.5
pressure_cusum_negative,301.5
temperature_neighbor_residual_slope_12h,296.0
humidity_value,295.5
temperature_cusum_positive,292.0
humidity_cusum_negative,290.5
humidity_ewma_prior,288.5
pressure_value,286.0
humidity_cusum_positive,275.0
regional_standardized_disagreement_max,272.0
temperature_ewma_prior,269.0
temperature_cusum_negative,259.0
pressure_neighbor_residual_slope_3h,257.5
pressure_temperature_ratio,242.5
neighbor_humidity_weighted_mean,241.0
humidity_delta1,237.0
temperature_robust_z_24h,233.0
neighbor_humidity_median,231.0
neighbor_temperature_weighted_mean,230.5
humidity_frozen_run_length,225.0
humidity_neighbor_residual_slope_12h,225.0
humidity_rate_per_hour,224.0
neighbor_pressure_mad,219.5
humidity_robust_z_24h,217.0
neighbor_temperature_max_abs_difference,216.5
pressure_rolling_count_24h,216.0
pressure_neighbor_residual_slope_6h,215.5
temperature_neighbor_residual_slope_3h,207.0
pressure_slope_12h,206.0
neighbor_temperature_median,204.5
pressure_monotonic_run,202.0
temperature_delta1,197.0
neighbor_humidity_max_abs_difference,197.0
temperature_rolling_count_24h,196.5
pressure_robust_z_24h,192.0
temperature_slope_24h,186.0
humidity_lag1,185.0
temperature_value,185.0
temperature_slope_3h,177.5
pressure_ewma_residual,169.5
humidity_slope_24h,161.5
pressure_slope_6h,161.5
pressure_lag1,161.0
temperature_slope_6h,159.5
temperature_neighbor_residual_slope_6h,157.0
temperature_lag1,154.5
humidity_neighbor_residual_slope_3h,144.0
humidity_slope_3h,121.5
regional_trend_disagreement_mean,120.0
humidity_ewma_residual,119.0
temperature_slope_12h,117.5
humidity_neighbor_residual_slope_6h,114.0
neighbor_pressure_agreement_fraction,112.0
regional_agreement_min,111.5
pressure_slope_3h,108.0
humidity_rolling_count_24h,106.5
pressure_delta1,104.0
regional_agreement_mean,103.0
pressure_rate_per_hour,102.5
humidity_monotonic_run,100.5
time_since_previous_minutes,98.5
neighbor_temperature_mad,96.0
humidity_slope_6h,94.0
temperature_ewma_residual,93.0
humidity_slope_12h,84.5
neighbor_humidity_mad,80.5
temperature_monotonic_run,53.5
neighbor_humidity_agreement_fraction,39.0
neighbor_temperature_agreement_fraction,35.5
neighbor_max_age_minutes,20.5
gap_ratio,19.0
neighbor_temperature_count,16.5
regional_agreeing_sensor_count,15.5
neighbor_pressure_count,8.0
neighbor_station_count,4.5
neighbor_min_age_minutes,2.0
neighbor_humidity_count,1.0
humidity_missing,0.0
primary_missing_count,0.0
pressure_missing,0.0
temperature_missing,0.0
out_of_order_indicator,0.0
