scope,domain,cluster,precision,recall,f1,auprc,weather_event_rows,weather_event_episodes,fault_to_weather_rate
discovery,india,bengaluru,0.0,0.0,0.0,,0,0,0.0
discovery,india,chennai,1.0,0.4222222222222222,0.59375,0.7391014663911839,90,1,0.0
discovery,india,delhi,0.9705882352941176,0.9428571428571428,0.9565217391304348,0.9899794770821486,70,1,0.0
discovery,india,hyderabad,0.0,0.0,0.0,,0,0,0.0
discovery,dwd_all,dwd_east_continental,0.8815426997245179,0.8556149732620321,0.8683853459972863,0.941978811668471,374,6,0.016129032258064516
discovery,dwd_all,dwd_north_coastal,0.8789808917197452,0.8117647058823529,0.8440366972477065,0.9371940903094093,510,6,0.0
discovery,dwd_all,dwd_south_upland,0.8140900195694716,0.8125,0.8132942326490714,0.9208078426222069,512,6,0.020202020202020204
discovery,dwd_all,dwd_west_lowland,0.898,0.9163265306122449,0.907070707070707,0.9694211691223569,490,6,0.0
discovery,dwd_holdout,dwd_east_continental,0.9204545454545454,0.8804347826086957,0.9,0.968303013639554,92,6,0.020202020202020204
discovery,dwd_holdout,dwd_north_coastal,0.9363636363636364,0.8046875,0.865546218487395,0.9431695121868345,128,6,0.0
discovery,dwd_holdout,dwd_south_upland,0.7253521126760564,0.8046875,0.762962962962963,0.8948946169781474,128,6,0.0
discovery,dwd_holdout,dwd_west_lowland,0.9426229508196722,0.9504132231404959,0.9465020576131687,0.9862803697453091,121,6,0.0
confirmation,india,bengaluru,0.0,0.0,0.0,,0,0,0.0
confirmation,india,chennai,0.0,0.0,0.0,,0,0,0.023622047244094488
confirmation,india,delhi,0.0,0.0,0.0,,0,0,0.0
confirmation,india,hyderabad,1.0,0.22270742358078602,0.36428571428571427,0.9348003810501807,229,1,0.0
confirmation,dwd_all,dwd_east_continental,0.8832116788321168,0.8481308411214953,0.865315852205006,0.9336676220992957,428,6,0.0
confirmation,dwd_all,dwd_north_coastal,0.8905579399141631,0.9304932735426009,0.9100877192982456,0.9681379537889909,446,6,0.031496062992125984
confirmation,dwd_all,dwd_south_upland,0.9445676274944568,0.8838174273858921,0.9131832797427653,0.9688622779824061,482,6,0.007462686567164179
confirmation,dwd_all,dwd_west_lowland,0.9288389513108615,0.9447619047619048,0.9367327667610954,0.9817973404444887,525,6,0.009433962264150943
confirmation,dwd_holdout,dwd_east_continental,0.8275862068965517,0.9056603773584906,0.8648648648648649,0.9523132584366564,106,6,0.0
confirmation,dwd_holdout,dwd_north_coastal,0.9181818181818182,0.9181818181818182,0.9181818181818182,0.9614191504417441,110,6,0.0
confirmation,dwd_holdout,dwd_south_upland,0.907563025210084,0.907563025210084,0.907563025210084,0.9607549548390405,119,6,0.011494252873563218
confirmation,dwd_holdout,dwd_west_lowland,0.9291338582677166,0.9147286821705426,0.921875,0.9755145732155341,129,6,0.0
