seed,scope,domain,anomaly_type,iteration9_episode_recall
8023,discovery,dwd_all,bias,0.0
8023,discovery,dwd_all,drift,0.25
8023,discovery,dwd_all,frozen_sensor,0.75
8023,discovery,dwd_all,noise,0.5
8023,discovery,dwd_all,spike,0.75
8023,discovery,dwd_holdout,bias,0.0
8023,discovery,dwd_holdout,drift,0.0
8023,discovery,dwd_holdout,frozen_sensor,1.0
8023,discovery,dwd_holdout,noise,1.0
8023,confirmation,dwd_all,bias,0.5
8023,confirmation,dwd_all,drift,0.0
8023,confirmation,dwd_all,frozen_sensor,0.75
8023,confirmation,dwd_all,noise,0.25
8023,confirmation,dwd_all,spike,0.5
8023,confirmation,dwd_holdout,bias,1.0
8023,confirmation,dwd_holdout,drift,0.0
8023,confirmation,dwd_holdout,frozen_sensor,0.6666666666666666
8023,confirmation,dwd_holdout,spike,1.0
9029,discovery,dwd_all,bias,0.0
9029,discovery,dwd_all,drift,0.25
9029,discovery,dwd_all,frozen_sensor,0.5
9029,discovery,dwd_all,noise,0.25
9029,discovery,dwd_all,spike,0.75
9029,discovery,dwd_holdout,bias,0.0
9029,discovery,dwd_holdout,drift,0.0
9029,discovery,dwd_holdout,frozen_sensor,1.0
9029,discovery,dwd_holdout,spike,0.5
9029,confirmation,dwd_all,bias,0.0
9029,confirmation,dwd_all,drift,0.0
9029,confirmation,dwd_all,frozen_sensor,0.5
9029,confirmation,dwd_all,noise,0.25
9029,confirmation,dwd_all,spike,0.75
9029,confirmation,dwd_holdout,bias,0.0
9029,confirmation,dwd_holdout,drift,0.0
9029,confirmation,dwd_holdout,frozen_sensor,0.5
9029,confirmation,dwd_holdout,noise,0.0
9029,confirmation,dwd_holdout,spike,1.0
9049,discovery,dwd_all,bias,0.0
9049,discovery,dwd_all,drift,0.0
9049,discovery,dwd_all,frozen_sensor,0.75
9049,discovery,dwd_all,noise,0.25
9049,discovery,dwd_all,spike,1.0
9049,discovery,dwd_holdout,bias,0.0
9049,discovery,dwd_holdout,frozen_sensor,1.0
9049,discovery,dwd_holdout,spike,1.0
9049,confirmation,dwd_all,bias,0.5
9049,confirmation,dwd_all,drift,0.5
9049,confirmation,dwd_all,frozen_sensor,1.0
9049,confirmation,dwd_all,noise,0.5
9049,confirmation,dwd_all,spike,0.5
9049,confirmation,dwd_holdout,bias,1.0
9049,confirmation,dwd_holdout,drift,0.0
9049,confirmation,dwd_holdout,noise,0.0
