feature,importance
pressure_climatology_residual,2666.0
neighbor_pressure_residual,2372.3333333333335
temperature_rolling_mad_24h,2149.3333333333335
temperature_climatology_residual,2087.0
humidity_rolling_mad_24h,1872.6666666666667
pressure_neighbor_residual_slope_24h,1752.6666666666667
pressure_rolling_mad_24h,1665.3333333333333
humidity_climatology_residual,1545.3333333333333
neighbor_pressure_max_abs_difference,1435.3333333333333
temperature_neighbor_residual_slope_24h,1410.6666666666667
humidity_neighbor_residual_slope_24h,1405.3333333333333
neighbor_humidity_residual,1288.0
neighbor_temperature_residual,1214.0
pressure_neighbor_residual_slope_12h,1066.6666666666667
humidity_cusum_positive,1057.6666666666667
pressure_slope_24h,1041.0
temperature_neighbor_residual_slope_12h,1033.3333333333333
pressure_cusum_negative,933.3333333333334
humidity_cusum_negative,923.0
pressure_cusum_positive,909.6666666666666
neighbor_pressure_mad,866.3333333333334
pressure_robust_z_24h,793.3333333333334
temperature_cusum_positive,783.0
neighbor_humidity_max_abs_difference,772.6666666666666
temperature_robust_z_24h,772.0
regional_standardized_disagreement_max,760.3333333333334
temperature_rate_per_hour,747.0
humidity_robust_z_24h,746.0
pressure_slope_12h,744.6666666666666
neighbor_temperature_max_abs_difference,725.3333333333334
pressure_neighbor_residual_slope_3h,722.0
temperature_cusum_negative,715.0
pressure_neighbor_residual_slope_6h,711.0
humidity_neighbor_residual_slope_12h,683.0
temperature_slope_24h,672.6666666666666
humidity_delta1,641.3333333333334
temperature_frozen_run_length,640.0
humidity_slope_24h,635.3333333333334
pressure_frozen_run_length,616.0
temperature_neighbor_residual_slope_3h,596.3333333333334
temperature_rolling_count_24h,591.6666666666666
pressure_ewma_residual,583.3333333333334
humidity_rate_per_hour,582.3333333333334
temperature_slope_3h,568.6666666666666
humidity_slope_12h,561.0
pressure_slope_3h,554.6666666666666
pressure_monotonic_run,542.6666666666666
humidity_neighbor_residual_slope_3h,539.6666666666666
pressure_slope_6h,529.0
temperature_neighbor_residual_slope_6h,528.3333333333334
temperature_slope_12h,511.0
humidity_slope_6h,498.3333333333333
regional_trend_disagreement_mean,496.3333333333333
temperature_delta1,484.6666666666667
pressure_rolling_count_24h,467.3333333333333
temperature_slope_6h,457.6666666666667
humidity_neighbor_residual_slope_6h,454.3333333333333
humidity_slope_3h,433.0
humidity_rolling_count_24h,413.3333333333333
humidity_frozen_run_length,406.6666666666667
humidity_ewma_residual,400.3333333333333
neighbor_humidity_mad,388.3333333333333
pressure_delta1,375.3333333333333
pressure_rate_per_hour,345.3333333333333
temperature_ewma_residual,339.0
regional_agreement_min,276.0
neighbor_temperature_mad,270.3333333333333
regional_agreement_mean,270.0
neighbor_pressure_agreement_fraction,257.3333333333333
humidity_monotonic_run,244.33333333333334
time_since_previous_minutes,232.33333333333334
temperature_monotonic_run,172.33333333333334
neighbor_humidity_agreement_fraction,117.33333333333333
neighbor_min_age_minutes,111.0
neighbor_temperature_agreement_fraction,101.66666666666667
neighbor_pressure_count,92.0
neighbor_max_age_minutes,78.33333333333333
gap_ratio,54.666666666666664
neighbor_temperature_count,51.333333333333336
regional_agreeing_sensor_count,48.0
neighbor_humidity_count,20.666666666666668
neighbor_station_count,18.0
out_of_order_indicator,0.0
pressure_missing,0.0
temperature_missing,0.0
primary_missing_count,0.0
humidity_missing,0.0
