domain,slice,anomaly_type,precision,recall,f1,support
india,all_fault_rows,bias,0.7094017094017094,0.564625850340136,0.6287878787878788,147.0
india,all_fault_rows,communication_corruption,1.0,0.8571428571428571,0.9230769230769231,7.0
india,all_fault_rows,drift,0.4523809523809524,0.16964285714285715,0.24675324675324675,112.0
india,all_fault_rows,duplicate_packet,0.0,0.0,0.0,0.0
india,all_fault_rows,frozen_sensor,0.2608695652173913,0.24489795918367346,0.25263157894736843,49.0
india,all_fault_rows,multi_sensor_failure,0.7586206896551724,0.9295774647887324,0.8354430379746836,71.0
india,all_fault_rows,noise,0.2,0.3787878787878788,0.2617801047120419,66.0
india,all_fault_rows,scaling_error,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
india,all_fault_rows,spike,0.0,0.0,0.0,2.0
india,all_fault_rows,sudden_drop,0.21428571428571427,0.6,0.3157894736842105,5.0
india,all_fault_rows,timestamp_error,1.0,0.5,0.6666666666666666,6.0
india,all_fault_rows,unit_error,0.6,1.0,0.75,3.0
india,detected_fault_rows,bias,0.8507462686567164,0.95,0.8976377952755905,60.0
india,detected_fault_rows,communication_corruption,1.0,0.8571428571428571,0.9230769230769231,7.0
india,detected_fault_rows,drift,1.0,0.5,0.6666666666666666,16.0
india,detected_fault_rows,multi_sensor_failure,1.0,1.0,1.0,54.0
india,detected_fault_rows,noise,0.3333333333333333,0.08,0.12903225806451613,25.0
india,detected_fault_rows,scaling_error,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
india,detected_fault_rows,spike,0.0,0.0,0.0,1.0
india,detected_fault_rows,sudden_drop,0.16666666666666666,0.5,0.25,4.0
india,detected_fault_rows,timestamp_error,1.0,0.5,0.6666666666666666,6.0
india,detected_fault_rows,unit_error,1.0,1.0,1.0,3.0
dwd,all_fault_rows,bias,0.3595505617977528,0.23357664233576642,0.2831858407079646,137.0
dwd,all_fault_rows,drift,0.23529411764705882,0.6111111111111112,0.33976833976833976,72.0
dwd,all_fault_rows,frozen_sensor,0.98,0.9245283018867925,0.9514563106796117,106.0
dwd,all_fault_rows,noise,0.5555555555555556,0.35294117647058826,0.4316546762589928,170.0
dwd,all_fault_rows,spike,0.6,0.75,0.6666666666666666,4.0
dwd,detected_fault_rows,bias,0.0,0.0,0.0,7.0
dwd,detected_fault_rows,drift,0.0,0.0,0.0,0.0
dwd,detected_fault_rows,frozen_sensor,1.0,1.0,1.0,46.0
dwd,detected_fault_rows,noise,0.625,0.7142857142857143,0.6666666666666666,7.0
dwd,detected_fault_rows,spike,1.0,1.0,1.0,2.0
