domain,station_id,year,cluster,evaluation_role,rows,complete_primary_fraction,mode_cadence_minutes,regular_cadence_fraction,full_year_slot_coverage,gap_ratio_q95,gap_ratio_q99,gap_ratio_q999,long_gap_fraction_gt_4x,max_gap_hours,exact_time_neighbour_ge_1_fraction,exact_time_neighbour_ge_2_fraction,active_months,duplicate_station_timestamps
india,42131099999,2022,delhi,station_holdout,2822,0.9968107725017717,180.0,0.9734136830911024,0.9664383561643836,1.0,2.0,4.0,0.0,12.0,1.0,1.0,12,0
india,42131099999,2023,delhi,station_holdout,2791,0.9939089931924041,180.0,0.9648745519713262,0.9558219178082191,1.0,2.0,4.0,0.0007168458781362007,45.0,1.0,0.9996417054819061,12,0
india,42181099999,2022,delhi,development,17175,0.9993595342066958,30.0,0.9901595434959823,0.9803082191780822,1.0,1.0,6.0,0.00186328170490276,12.0,0.9963318777292577,0.24075691411935954,12,0
india,42181099999,2023,delhi,development,17118,0.9996494917630564,30.0,0.9874393877431793,0.977054794520548,1.0,2.0,5.0,0.0015189577612899456,10.5,0.995384974880243,0.19879658838649375,12,0
india,42182099999,2022,delhi,development,4005,0.9975031210986267,180.0,0.6403596403596403,1.0,1.0,1.0,3.0,0.0,12.0,0.9990012484394507,0.9967540574282148,12,0
india,42182099999,2023,delhi,development,2893,0.9982716902868994,180.0,0.970954356846473,0.9907534246575342,1.0,2.0,4.0,0.00034578146611341634,42.0,1.0,0.9986173522295195,12,0
india,42189099999,2022,delhi,development,3011,0.9993357688475589,180.0,0.9338870431893688,1.0,1.0,1.0,2.9909999999999854,0.0,12.0,0.9966788442377947,0.9960146130853537,12,0
india,42189099999,2023,delhi,development,3239,0.9978388391478852,180.0,0.7853613341568869,1.0,1.0,2.0,4.0,0.00030883261272390367,54.0,0.9941339919728311,0.9932077801790676,12,0
india,42348099999,2022,delhi,development,17367,0.9995393562503598,30.0,0.9887711620407693,0.9912671232876712,1.0,1.0,3.0,0.0008637567660946678,9.0,0.9856048828237461,0.23826797950135314,12,0
india,42348099999,2023,delhi,development,17327,0.9994805794424886,30.0,0.988398938012236,0.9889840182648402,1.0,1.0,3.0,0.0005771672630728385,10.5,0.9836671091360305,0.19639868413458764,12,0
india,42361099999,2022,delhi,development,2973,1.0,180.0,0.9199192462987887,1.0,1.0,2.0,2.0289999999999964,0.0,9.0,0.9989909182643795,0.996636394214598,12,0
india,42361099999,2023,delhi,development,3280,0.9981707317073171,180.0,0.7956694114059164,1.0,1.0,2.0,2.7220000000002074,0.0003049710277523635,45.0,0.9969512195121951,0.9954268292682927,12,0
india,42705699999,2022,bengaluru,development,17532,0.9992014601870864,30.0,0.9856254634647197,1.0,1.0,1.0,3.0,0.00039929268153556554,6.5,0.9844284736481862,0.9044033766826375,12,0
india,42705699999,2023,bengaluru,development,17359,0.9999423929949882,30.0,0.9853093674386451,0.9908105022831051,1.0,1.0,4.0,0.0008065445327802742,12.5,0.9803560112909729,0.9109971772567544,12,0
