candidate,threshold,k,n,eligible,tp,fp,fn,tn,precision,recall,f1,predicted_incidents,true_positive_predicted_incidents,false_positive_predicted_incidents,true_fault_episodes,detected_fault_episodes,incident_precision,episode_recall,incident_f1,false_alert_incidents_per_station_day,observed_station_days,median_detection_latency_minutes,p90_detection_latency_minutes,rows,stations,fault_rows,weather_rows,fault_auprc,brier_score,ece_10_bin,weather_rows_flagged_as_fault,weather_false_fault_rate,persistence_k,persistence_n
tcn,0.02,1,1,False,288,692,144,59477,0.2938775510204082,0.6666666666666666,0.4079320113314448,348,46,302,38,32,0.13218390804597702,0.8421052631578947,0.22850046569388388,0.1231647634584013,2452,0.0,540.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,1,0.00625,1,1
tcn,0.02,2,3,False,257,557,175,59612,0.3157248157248157,0.5949074074074074,0.41252006420545745,129,17,112,38,13,0.13178294573643412,0.34210526315789475,0.1902712010331468,0.04567699836867863,2452,300.0,1386.0000000000002,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.02,3,5,False,247,495,185,59674,0.3328840970350404,0.5717592592592593,0.42078364565587734,81,13,68,38,12,0.16049382716049382,0.3157894736842105,0.21282401091405184,0.02773246329526917,2452,390.0,1578.0000000000002,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.04,1,1,False,188,91,244,60078,0.6738351254480287,0.4351851851851852,0.5288326300984528,71,37,34,38,24,0.5211267605633803,0.631578947368421,0.5710610932475884,0.013866231647634585,2452,0.0,623.9999999999999,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.04,2,3,False,170,86,262,60083,0.6640625,0.39351851851851855,0.4941860465116279,28,15,13,38,10,0.5357142857142857,0.2631578947368421,0.35294117647058815,0.005301794453507341,2452,540.0,1367.9999999999998,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.04,3,5,False,160,83,272,60086,0.6584362139917695,0.37037037037037035,0.47407407407407404,19,11,8,38,8,0.5789473684210527,0.21052631578947367,0.3087719298245614,0.0032626427406199023,2452,585.0,956.9999999999999,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.06,1,1,False,118,27,314,60142,0.8137931034482758,0.27314814814814814,0.40901213171577117,40,29,11,38,22,0.725,0.5789473684210527,0.6437941473259334,0.004486133768352365,2452,0.0,813.0000000000006,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.06,2,3,False,92,30,340,60139,0.7540983606557377,0.21296296296296297,0.33212996389891697,14,8,6,38,6,0.5714285714285714,0.15789473684210525,0.24742268041237112,0.0024469820554649264,2452,375.0,735.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.06,3,5,False,88,32,344,60137,0.7333333333333333,0.2037037037037037,0.3188405797101449,10,6,4,38,5,0.6,0.13157894736842105,0.21582733812949642,0.0016313213703099511,2452,480.0,792.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.08,1,1,True,104,9,328,60160,0.9203539823008849,0.24074074074074073,0.38165137614678896,26,22,4,38,20,0.8461538461538461,0.5263157894736842,0.6489675516224189,0.0016313213703099511,2452,0.0,918.0000000000011,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.08,2,3,False,84,12,348,60157,0.875,0.19444444444444445,0.3181818181818182,8,6,2,38,6,0.75,0.15789473684210525,0.2608695652173913,0.0008156606851549756,2452,540.0,1575.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.08,3,5,True,79,15,353,60154,0.8404255319148937,0.18287037037037038,0.30038022813688214,5,4,1,38,4,0.8,0.10526315789473684,0.18604651162790697,0.0004078303425774878,2452,570.0,819.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.1,1,1,True,91,5,341,60164,0.9479166666666666,0.21064814814814814,0.3446969696969696,19,18,1,38,18,0.9473684210526315,0.47368421052631576,0.631578947368421,0.0004078303425774878,2452,0.0,525.0000000000001,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.1,2,3,True,74,8,358,60161,0.9024390243902439,0.1712962962962963,0.28793774319066145,5,5,0,38,5,1.0,0.13157894736842105,0.23255813953488372,0.0,2452,510.0,828.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.1,3,5,True,70,12,362,60157,0.8536585365853658,0.16203703703703703,0.27237354085603116,5,4,1,38,4,0.8,0.10526315789473684,0.18604651162790697,0.0004078303425774878,2452,720.0,921.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.12000000000000001,1,1,True,85,5,347,60164,0.9444444444444444,0.19675925925925927,0.3256704980842912,18,17,1,38,17,0.9444444444444444,0.4473684210526316,0.6071428571428572,0.0004078303425774878,2452,0.0,594.0000000000001,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.12000000000000001,2,3,True,69,8,363,60161,0.8961038961038961,0.1597222222222222,0.2711198428290766,5,5,0,38,5,1.0,0.13157894736842105,0.23255813953488372,0.0,2452,540.0,918.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.12000000000000001,3,5,False,63,10,369,60159,0.863013698630137,0.14583333333333334,0.2495049504950495,3,2,1,38,2,0.6666666666666666,0.05263157894736842,0.09756097560975609,0.0004078303425774878,2452,510.0,558.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.13999999999999999,1,1,True,78,5,354,60164,0.9397590361445783,0.18055555555555555,0.3029126213592233,16,15,1,38,14,0.9375,0.3684210526315789,0.5289672544080605,0.0004078303425774878,2452,0.0,495.00000000000017,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.13999999999999999,2,3,True,64,8,368,60161,0.8888888888888888,0.14814814814814814,0.25396825396825395,5,5,0,38,4,1.0,0.10526315789473684,0.1904761904761905,0.0,2452,495.0,801.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.13999999999999999,3,5,False,60,10,372,60159,0.8571428571428571,0.1388888888888889,0.2390438247011952,3,2,1,38,2,0.6666666666666666,0.05263157894736842,0.09756097560975609,0.0004078303425774878,2452,555.0,639.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.16,1,1,True,69,5,363,60164,0.9324324324324325,0.1597222222222222,0.2727272727272727,16,15,1,38,13,0.9375,0.34210526315789475,0.5012853470437019,0.0004078303425774878,2452,0.0,636.0000000000002,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.16,2,3,True,56,8,376,60161,0.875,0.12962962962962962,0.22580645161290322,5,5,0,38,4,1.0,0.10526315789473684,0.1904761904761905,0.0,2452,585.0,846.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.16,3,5,False,52,10,380,60159,0.8387096774193549,0.12037037037037036,0.21052631578947367,4,3,1,38,2,0.75,0.05263157894736842,0.09836065573770492,0.0004078303425774878,2452,615.0,723.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.18,1,1,True,54,4,378,60165,0.9310344827586207,0.125,0.22040816326530616,16,14,2,38,12,0.875,0.3157894736842105,0.4640883977900552,0.0008156606851549756,2452,0.0,693.0000000000001,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.18,2,3,True,43,6,389,60163,0.8775510204081632,0.09953703703703703,0.17879417879417878,3,3,0,38,3,1.0,0.07894736842105263,0.14634146341463414,0.0,2452,480.0,1032.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.18,3,5,False,41,7,391,60162,0.8541666666666666,0.09490740740740741,0.17083333333333334,3,2,1,38,2,0.6666666666666666,0.05263157894736842,0.09756097560975609,0.0004078303425774878,2452,885.0,1137.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.19999999999999998,1,1,True,46,4,386,60165,0.92,0.10648148148148148,0.19087136929460582,15,13,2,38,11,0.8666666666666667,0.2894736842105263,0.43399089529590285,0.0008156606851549756,2452,0.0,450.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.19999999999999998,2,3,True,36,6,396,60163,0.8571428571428571,0.08333333333333333,0.1518987341772152,5,5,0,38,3,1.0,0.07894736842105263,0.14634146341463414,0.0,2452,480.0,1032.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.19999999999999998,3,5,False,34,7,398,60162,0.8292682926829268,0.0787037037037037,0.1437632135306554,4,3,1,38,2,0.75,0.05263157894736842,0.09836065573770492,0.0004078303425774878,2452,885.0,1137.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.22,1,1,True,34,3,398,60166,0.918918918918919,0.0787037037037037,0.14498933901918978,12,11,1,38,10,0.9166666666666666,0.2631578947368421,0.4089219330855018,0.0004078303425774878,2452,0.0,548.9999999999998,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.22,2,3,True,24,6,408,60163,0.8,0.05555555555555555,0.10389610389610389,3,3,0,38,3,1.0,0.07894736842105263,0.14634146341463414,0.0,2452,870.0,1134.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
