model,epoch,train_loss,monitor_auprc,elapsed_seconds,positive_sample_weight,training_endpoints,monitor_endpoints
tcn,1,0.13428651040885597,0.4834758761505655,19.365963600001123,13.4352422907489,32768,12252
tcn,2,0.10035604820586741,0.5030960635993262,17.706971800002066,13.4352422907489,32768,12252
tcn,3,0.076043476263294,0.5306543000292668,20.820542000001296,13.4352422907489,32768,12252
tcn,4,0.06196097526117228,0.5301954251230625,20.9402141999999,13.4352422907489,32768,12252
tcn,5,0.05234843368816655,0.4632173726799261,20.99666040000011,13.4352422907489,32768,12252
tcn,6,0.04763623028702568,0.49364841042041935,20.724415200002113,13.4352422907489,32768,12252
gru,1,0.13621160731418058,0.43626179814426747,14.161986200000683,13.4352422907489,32768,12252
gru,2,0.08903900181758218,0.5958608605173531,13.966250499997841,13.4352422907489,32768,12252
gru,3,0.05982033575128298,0.621783382368456,13.05284810000012,13.4352422907489,32768,12252
gru,4,0.048431843795697205,0.6293719032700414,13.67211479999969,13.4352422907489,32768,12252
gru,5,0.039704569229797926,0.6177219965090579,13.730985599999258,13.4352422907489,32768,12252
gru,6,0.0326305981434416,0.6231099046141783,13.743426400000317,13.4352422907489,32768,12252
gru,7,0.027809613115096,0.5564356289908046,13.035701299999346,13.4352422907489,32768,12252
