station_id,station_name,latitude,longitude,elevation_m,climate_zone,cluster,temperature_c,pressure_hpa,relative_humidity_pct,temp_z,press_z,rh_z,max_z,decision,confidence,severity,neighbors_evaluated
43900000997,Nubra Diskit AWS,34.57,77.56,3144.0,Northern Himalayas,northern_himalayas,5.6,708.5,61,-1.04,1.06,-0.17,1.06,NORMAL,0.95,NONE,5
43900000996,Kargil High-Alt AWS,34.56,76.13,2676.0,Northern Himalayas,northern_himalayas,12.1,749.1,50,1.32,2.95,-2.7,2.95,GENUINE_WEATHER_EVENT,0.91,ADVISORY,5
43900000980,Kupwara AWS,34.53,74.25,1609.0,Northern Himalayas,northern_himalayas,12.9,836.8,67,-0.38,-3.98,0.67,3.98,SENSOR_FAULT,0.711,HIGH,5
42030099999,Dras,34.433,75.767,3066.0,Northern Himalayas,northern_himalayas,7.0,709.6,65,0.34,0.21,-0.06,0.34,NORMAL,0.95,NONE,5
43542099999,Dras,34.433,75.767,3066.0,Northern Himalayas,northern_himalayas,7.0,709.6,65,0.34,0.21,-0.06,0.34,NORMAL,0.95,NONE,5
43900000984,Bandipora AWS,34.42,74.64,1578.0,Northern Himalayas,northern_himalayas,12.0,838.5,62,-1.27,-4.87,-0.84,4.87,SENSOR_FAULT,0.764,HIGH,5
42029099999,Sonamarg,34.317,75.317,2515.0,Northern Himalayas,northern_himalayas,0.4,650.3,78,-1.88,-72.1,2.19,72.1,SENSOR_FAULT,0.98,HIGH,5
43541099999,Sonamarg          &,34.317,75.317,2515.0,Northern Himalayas,northern_himalayas,0.4,650.3,78,-1.88,-72.1,2.19,72.1,SENSOR_FAULT,0.98,HIGH,5
43900000985,Ganderbal AWS,34.22,74.78,1619.0,Northern Himalayas,northern_himalayas,13.5,843.0,62,-0.75,0.86,-0.79,0.86,NORMAL,0.95,NONE,5
43900000978,Baramulla AWS,34.2,74.36,1593.0,Northern Himalayas,northern_himalayas,16.5,845.0,63,2.39,0.39,-0.54,2.39,NORMAL,0.95,NONE,5
42034099999,Leh               &,34.15,77.567,3513.0,Northern Himalayas,northern_himalayas,7.5,687.1,46,0.73,2.31,-2.53,2.53,NORMAL,0.95,NONE,5
42705399999,Leh,34.136,77.547,3255.9,Northern Himalayas,northern_himalayas,7.4,695.9,62,-0.24,-0.66,0.79,0.79,NORMAL,0.95,NONE,5
42027099999,Srinagar,34.083,74.833,1587.0,Northern Himalayas,northern_himalayas,14.3,844.8,90,-0.41,-0.39,2.02,2.02,NORMAL,0.95,NONE,5
42026099999,Gulmarg,34.05,74.4,2655.0,Northern Himalayas,northern_himalayas,10.2,745.5,69,2.4,1.11,0.34,2.4,NORMAL,0.95,NONE,5
43900000979,Pahalgam AWS,34.01,75.32,2130.0,Northern Himalayas,northern_himalayas,10.4,791.1,66,0.59,0.55,-2.53,2.53,NORMAL,0.95,NONE,5
42042099999,Srinagar,33.983,74.783,1664.0,Northern Himalayas,northern_himalayas,14.7,837.7,70,0.58,0.21,0.06,0.58,NORMAL,0.95,NONE,5
43900000981,Pulwama AWS,33.87,74.89,1630.0,Northern Himalayas,northern_himalayas,11.2,836.4,81,-2.45,-2.95,0.62,2.95,PROBABLE_FAULT,0.76,LOW,5
43900000991,Poonch AWS,33.77,74.1,1005.0,Northern Himalayas,northern_himalayas,17.6,902.9,67,-1.12,-1.58,-0.34,1.58,NORMAL,0.95,NONE,5
43900000977,Anantnag AWS,33.73,75.15,1601.0,Northern Himalayas,northern_himalayas,14.0,843.3,82,0.58,0.66,2.36,2.36,NORMAL,0.95,NONE,5
43900000982,Shopian AWS,33.72,74.83,2057.0,Northern Himalayas,northern_himalayas,12.3,801.1,53,0.8,1.62,-1.04,1.62,NORMAL,0.95,NONE,5
43900000983,Kulgam AWS,33.65,75.02,1739.0,Northern Himalayas,northern_himalayas,13.4,830.0,64,0.16,0.6,-0.21,0.6,NORMAL,0.95,NONE,5
42044099999,Qazi Gund,33.583,75.083,1690.0,Northern Himalayas,northern_himalayas,15.2,821.4,55,0.99,-4.13,-2.19,4.13,SENSOR_FAULT,0.72,HIGH,5
42045099999,Banihal,33.5,75.167,1630.0,Northern Himalayas,northern_himalayas,12.6,804.7,68,-1.05,-11.56,0.3,11.56,SENSOR_FAULT,0.98,HIGH,5
43900000993,Ramban Banihal AWS,33.49,75.2,1666.0,Northern Himalayas,northern_himalayas,11.9,792.3,71,-1.38,-14.22,0.52,14.22,SENSOR_FAULT,0.98,HIGH,5
43900000992,Rajouri AWS,33.38,74.3,915.0,Northern Himalayas,northern_himalayas,18.8,909.0,70,-0.15,-0.78,0.2,0.78,NORMAL,0.95,NONE,5
43900000995,Kishtwar AWS,33.32,75.77,1638.0,Northern Himalayas,northern_himalayas,14.8,837.0,68,-0.08,0.58,0.0,0.58,NORMAL,0.95,NONE,5
43900000998,Nyoma Changthang AWS,33.19,78.65,4180.0,Northern Himalayas,northern_himalayas,5.4,630.3,55,1.53,0.5,-1.18,1.53,NORMAL,0.95,NONE,5
43900000988,Reasi AWS,33.08,74.83,466.0,Northern Himalayas,northern_himalayas,21.9,955.5,83,-0.19,-0.74,0.45,0.74,NORMAL,0.95,NONE,5
43900000987,Katra Mata Vaishno Devi AWS,32.99,74.95,875.0,Northern Himalayas,northern_himalayas,20.4,911.0,77,0.76,-1.17,-0.51,1.17,NORMAL,0.95,NONE,5
43900000994,Doda Bhadarwah AWS,32.98,75.71,1613.0,Northern Himalayas,northern_himalayas,15.1,841.1,61,0.12,0.36,-3.04,3.04,PROBABLE_FAULT,0.76,LOW,5
43900000986,Udhampur AWS,32.93,75.14,756.0,Northern Himalayas,northern_himalayas,21.8,929.7,76,1.29,0.96,-0.59,1.29,NORMAL,0.95,NONE,5
42055099999,Jammu (In-Afb),32.683,74.833,314.0,Northern Himalayas,northern_himalayas,22.8,978.8,92,-1.05,0.62,2.53,2.53,NORMAL,0.95,NONE,5
42056099999,Jammu,32.667,74.833,367.0,Northern Himalayas,northern_himalayas,22.8,979.1,92,-0.76,2.22,2.53,2.53,NORMAL,0.95,NONE,5
42063099999,Kyelong,32.583,77.067,3348.0,Northern Himalayas,northern_himalayas,3.9,666.2,65,-0.01,-0.91,-0.67,0.91,NORMAL,0.95,NONE,5
43900000963,Lahaul Keylong AWS,32.57,77.03,3080.0,Northern Himalayas,northern_himalayas,7.7,715.7,66,0.69,1.05,-0.51,1.05,NORMAL,0.95,NONE,5
43900000990,Samba AWS,32.56,75.12,384.0,Northern Himalayas,northern_himalayas,24.1,967.9,75,1.19,-0.48,-2.87,2.87,PROBABLE_FAULT,0.76,LOW,5
43900000960,Chamba AWS,32.55,76.13,1006.0,Northern Himalayas,northern_himalayas,19.4,917.7,79,0.59,2.28,-0.76,2.28,NORMAL,0.95,NONE,5
42059099999,Dalhousie,32.533,75.967,1959.0,Northern Himalayas,northern_himalayas,12.5,808.8,80,-0.1,3.63,-1.35,3.63,PROBABLE_FAULT,0.76,LOW,5
43900000989,Kathua AWS,32.37,75.52,307.0,Northern Himalayas,northern_himalayas,22.9,975.3,92,-0.65,-0.99,0.67,0.99,NORMAL,0.95,NONE,5
42060099999,Kathua,32.333,75.5,380.0,Northern Himalayas,northern_himalayas,23.2,977.8,90,0.26,6.43,0.34,6.43,SENSOR_FAULT,0.858,HIGH,5
43900000923,Pathankot AWS,32.27,75.65,332.0,Northern Himalayas,northern_himalayas,23.2,973.8,88,0.1,-0.11,0.0,0.11,NORMAL,0.95,NONE,5
42062099999,Dharmsala,32.267,76.383,1211.0,Northern Himalayas,northern_himalayas,6.1,719.2,100,-10.09,-16.72,2.36,16.72,SENSOR_FAULT,0.98,HIGH,5
42065099999,Manali,32.267,77.167,2039.0,Northern Himalayas,northern_himalayas,10.4,770.1,69,-1.21,-2.15,-0.97,2.15,NORMAL,0.95,NONE,5
42057099999,Pathankot (In-Afb)&,32.233,75.633,312.0,Northern Himalayas,northern_himalayas,23.2,976.6,88,-0.11,0.13,0.0,0.13,NORMAL,0.95,NONE,5
